0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,chain_break_fraction,energy,num_occurrences
1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0.0,-78.3255012934915,1
1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0.0,-78.31510686314682,1
1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0.0,-78.24620047153667,1
1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0.0,-78.09987209603169,1
1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0.0,-78.09696081106362,1
0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0.0,-78.0662931821635,1
1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0.0,-78.00674645116044,1
1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0.0,-77.95269782560052,1
0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0.0,-77.92422106794453,1
1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0.0,-77.76878848274177,1
1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0.0,-77.71541550497719,1
1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0.0,-77.68109952290432,1
0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0.0,-77.66405114343023,1
0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0.0,-77.4286633773257,1
0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0.0,-77.36503934704102,1
1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0.0,-77.34431005112552,2
1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0.0,-77.19495502757435,1
1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0.0,-77.10132068218067,1
1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0.0,-76.75187664020088,1
