0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
1,0,1,1,1,0,0.0,-0.19,17
0,0,1,0,1,1,0.0,-0.19,41
1,1,0,1,1,1,0.0,-0.19,24
1,0,1,0,0,0,0.0,-0.19,40
0,1,0,1,1,0,0.0,-0.19,23
0,0,1,0,0,1,0.0,-0.19,38
0,0,1,0,1,0,0.0,-0.19,25
0,1,0,1,0,1,0.0,-0.19,29
1,0,1,1,0,0,0.0,-0.19,22
1,0,1,0,0,1,0.0,-0.19,43
0,0,1,1,0,0,0.0,-0.19,23
0,0,1,0,0,0,0.0,-0.19,29
1,1,0,1,0,0,0.0,-0.19,27
1,1,0,1,0,1,0.0,-0.19,28
1,1,0,0,0,0,0.0,-0.19,43
1,1,0,1,1,0,0.0,-0.19,20
0,0,1,1,0,1,0.0,-0.19,30
1,0,1,1,1,1,0.0,-0.19,18
1,0,1,1,0,1,0.0,-0.19,30
0,0,1,1,1,1,0.0,-0.19,17
1,0,1,0,1,0,0.0,-0.19,18
0,1,0,0,1,1,0.0,-0.19,41
1,0,1,0,1,1,0.0,-0.19,38
0,1,0,1,1,1,0.0,-0.19,14
1,1,0,0,1,1,0.0,-0.19,47
0,1,0,1,0,0,0.0,-0.19,28
0,1,0,0,0,0,0.0,-0.19,52
1,1,0,0,0,1,0.0,-0.19,54
1,1,0,0,1,0,0.0,-0.19,35
0,0,1,1,1,0,0.0,-0.19,19
0,1,0,0,1,0,0.0,-0.19,36
0,1,0,0,0,1,0.0,-0.19,51
