0,1,2,3,4,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,0.0,-256.29,1289
0,1,0,1,1,0.0,-256.28999999999996,697
0,1,1,1,1,0.0,-184.80999999999995,3
1,0,0,0,0,0.0,-184.81,1
1,1,1,1,0,0.0,-181.18999999999997,4
0,0,0,0,1,0.0,-181.19,2
0,1,1,1,0,0.0,-165.99999999999997,2
1,0,0,0,1,0.0,-166.0,2
