0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
1,0,0,1,1,0,0.0,-0.19,51
0,1,0,0,1,0,0.0,-0.19,64
1,1,0,0,0,1,0.0,-0.19,53
0,0,1,1,1,0,0.0,-0.19,59
0,1,0,0,0,1,0.0,-0.19,73
1,0,0,1,0,1,0.0,-0.19,62
1,1,1,0,1,0,0.0,-0.19,56
1,0,1,1,0,1,0.0,-0.19,81
0,1,1,0,1,0,0.0,-0.19,66
1,1,0,0,1,0,0.0,-0.19,41
0,0,0,1,0,1,0.0,-0.19,64
0,0,1,1,0,1,0.0,-0.19,60
1,1,1,0,0,1,0.0,-0.19,71
1,0,1,1,1,0,0.0,-0.19,51
0,1,1,0,0,1,0.0,-0.19,88
0,0,0,1,1,0,0.0,-0.19,57
1,1,1,0,0,0,0.0,-0.12,1
1,1,0,0,0,0,0.0,-0.12,2
