0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,chain_break_fraction,energy,num_occurrences
1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0.0,-9.955225515834957,4
1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0.0,-9.955225515834957,5
1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0.0,-9.954276177076766,11
1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0.0,-9.954276177076766,12
0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0.0,-9.952801386327472,7
0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0.0,-9.952801386327472,8
1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0.0,-9.952372010422808,13
1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0.0,-9.952372010422808,12
0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.0,-9.95185204756928,13
0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0.0,-9.95185204756928,19
1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0.0,-9.951422671664616,16
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0.0,-9.951422671664616,15
0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0.0,-9.949947880915323,21
0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0.0,-9.949947880915323,18
0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0.0,-9.948998542157131,36
0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0.0,-9.948998542157131,22
1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0.0,-9.942372010422808,3
1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0.0,-9.942372010422808,5
1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0.0,-9.941422671664617,14
1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0.0,-9.941422671664617,11
1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0.0,-9.940762997087607,8
1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0.0,-9.940762997087607,5
0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0.0,-9.939947880915323,17
0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0.0,-9.939947880915323,10
1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0.0,-9.939813658329415,8
1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0.0,-9.939813658329415,13
0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0.0,-9.938998542157131,23
0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0.0,-9.938998542157131,24
0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0.0,-9.938338867580121,7
0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0.0,-9.938338867580121,16
0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0.0,-9.93738952882193,10
0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0.0,-9.93738952882193,17
1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0.0,-9.929279418264336,7
1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0.0,-9.929279418264336,9
0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0.0,-9.926855288756851,13
0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0.0,-9.926855288756851,14
