0,1,2,3,4,5,6,7,8,9,10,11,12,chain_break_fraction,energy,num_occurrences
0,1,1,0,0,0,1,0,1,0,0,0,1,0.0,-2.31,11
0,0,1,0,1,0,1,0,1,1,0,0,0,0.0,-2.31,17
0,1,1,0,1,0,1,0,1,1,0,0,0,0.0,-2.31,11
0,1,1,0,0,0,1,1,0,1,0,0,1,0.0,-2.31,15
0,1,1,0,0,0,1,0,1,1,0,0,1,0.0,-2.31,15
0,0,1,0,1,0,1,1,0,1,0,0,0,0.0,-2.31,14
0,1,1,0,1,0,1,0,1,0,0,0,0,0.0,-2.31,12
0,1,1,0,1,0,1,1,0,1,0,0,0,0.0,-2.31,15
0,0,1,0,0,0,1,1,0,1,0,0,1,0.0,-2.31,18
0,1,1,0,0,0,1,1,0,0,0,0,1,0.0,-2.31,20
0,0,1,0,1,0,1,0,1,0,0,0,0,0.0,-2.31,10
0,0,1,0,1,0,1,1,0,0,0,0,0,0.0,-2.31,23
0,1,1,0,1,0,1,1,0,0,0,0,0,0.0,-2.31,14
0,0,1,0,0,0,1,0,1,0,0,0,1,0.0,-2.31,13
0,0,1,0,0,0,1,1,0,0,0,0,1,0.0,-2.31,16
0,0,1,0,0,0,1,0,1,1,0,0,1,0.0,-2.31,11
0,1,1,1,1,0,0,0,1,1,1,1,0,0.0,-2.3076908271152115,7
0,1,1,1,1,0,0,1,0,0,1,1,0,0.0,-2.3076908271152115,9
0,0,1,1,1,0,0,1,0,1,1,1,0,0.0,-2.3076908271152115,9
0,0,1,1,0,0,0,1,0,0,1,1,1,0.0,-2.3076908271152115,10
0,1,1,1,1,0,0,0,1,0,1,1,0,0.0,-2.3076908271152115,11
0,0,1,1,0,0,0,0,1,1,1,1,1,0.0,-2.3076908271152115,6
0,0,1,1,1,0,0,0,1,1,1,1,0,0.0,-2.3076908271152115,9
0,0,1,1,0,0,0,1,0,1,1,1,1,0.0,-2.3076908271152115,7
0,1,1,1,0,0,0,1,0,0,1,1,1,0.0,-2.3076908271152115,10
0,1,1,1,0,0,0,0,1,1,1,1,1,0.0,-2.3076908271152115,7
0,1,1,1,1,0,0,1,0,1,1,1,0,0.0,-2.3076908271152115,11
0,1,1,1,0,0,0,1,0,1,1,1,1,0.0,-2.3076908271152115,13
0,0,1,1,0,0,0,0,1,0,1,1,1,0.0,-2.3076908271152115,8
