0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
0,0,1,1,1,0,0.0,-0.1,11
0,0,1,1,0,1,0.0,-0.1,18
0,1,1,1,1,0,0.0,-0.1,13
1,0,0,0,1,0,0.0,-0.1,39
0,1,0,1,0,0,0.0,-0.1,26
0,0,0,1,1,0,0.0,-0.1,15
1,0,1,0,1,0,0.0,-0.1,24
0,0,1,1,1,1,0.0,-0.1,10
1,0,1,0,0,1,0.0,-0.1,27
0,0,0,1,1,1,0.0,-0.1,7
1,0,0,0,0,1,0.0,-0.1,34
1,0,1,0,0,0,0.0,-0.1,29
1,0,0,0,1,1,0.0,-0.1,33
0,1,1,1,0,0,0.0,-0.1,25
0,0,0,1,0,0,0.0,-0.1,14
0,1,1,1,0,1,0.0,-0.1,31
1,1,1,0,0,1,0.0,-0.1,58
0,1,1,1,1,1,0.0,-0.1,18
1,1,0,0,1,1,0.0,-0.1,45
1,1,0,0,1,0,0.0,-0.1,61
1,0,1,0,1,1,0.0,-0.1,24
1,0,0,0,0,0,0.0,-0.1,35
1,1,0,0,0,1,0.0,-0.1,86
0,0,1,1,0,0,0.0,-0.1,14
1,1,1,0,0,0,0.0,-0.1,49
1,1,1,0,1,1,0.0,-0.1,44
0,1,0,1,0,1,0.0,-0.1,24
0,0,0,1,0,1,0.0,-0.1,22
0,1,0,1,1,0,0.0,-0.1,21
0,1,0,1,1,1,0.0,-0.1,23
1,1,0,0,0,0,0.0,-0.1,75
1,1,1,0,1,0,0.0,-0.1,44
0,1,0,0,0,0,0.0,0.0,1
