0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,0,0,0,1,1,0,1,0.0,-1.05,35
1,0,0,0,1,1,0,0,0.0,-1.05,52
0,0,0,0,1,1,1,1,0.0,-1.05,44
1,0,1,0,1,0,0,0,0.0,-1.05,59
0,0,1,0,1,0,1,1,0.0,-1.05,36
0,0,1,0,1,0,0,1,0.0,-1.05,31
1,0,1,0,1,0,1,0,0.0,-1.05,64
1,0,0,0,1,1,1,0,0.0,-1.05,73
0,1,1,1,0,0,0,1,0.0,-1.0473670597255278,40
1,1,1,1,0,0,1,0,0.0,-1.0473670597255278,50
1,1,0,1,0,1,0,0,0.0,-1.0473670597255278,76
1,1,0,1,0,1,1,0,0.0,-1.0473670597255278,82
0,1,1,1,0,0,1,1,0.0,-1.0473670597255278,51
1,1,1,1,0,0,0,0,0.0,-1.0473670597255278,66
0,1,0,1,0,1,0,1,0.0,-1.0473670597255278,43
0,1,0,1,0,1,1,1,0.0,-1.0473670597255278,60
0,0,1,1,1,0,0,1,0.0,-0.9376527273899169,5
0,0,0,1,1,1,0,1,0.0,-0.9376527273899169,5
1,0,1,1,1,0,0,0,0.0,-0.9376527273899169,4
1,0,0,1,1,1,1,0,0.0,-0.9376527273899169,8
0,0,1,1,1,0,1,1,0.0,-0.9376527273899169,6
1,0,0,1,1,1,0,0,0.0,-0.9376527273899169,7
0,0,0,1,1,1,1,1,0.0,-0.9376527273899169,7
1,0,1,1,1,0,1,0,0.0,-0.9376527273899169,11
1,1,1,0,0,0,0,0,0.0,-0.9299999999999999,2
0,0,0,1,0,1,0,1,0.0,-0.9299999999999999,5
1,1,1,0,0,0,1,0,0.0,-0.9299999999999999,4
0,1,0,0,0,1,1,1,0.0,-0.9299999999999999,1
1,0,1,1,0,0,0,0,0.0,-0.9299999999999999,5
1,1,0,0,0,1,1,0,0.0,-0.9299999999999999,5
0,0,1,1,0,0,0,1,0.0,-0.9299999999999999,3
1,0,1,1,0,0,1,0,0.0,-0.9299999999999999,4
1,0,0,1,0,1,0,0,0.0,-0.9299999999999999,3
0,1,0,0,0,1,0,1,0.0,-0.9299999999999999,3
0,1,1,0,0,0,0,1,0.0,-0.9299999999999999,2
1,1,0,0,0,1,0,0,0.0,-0.9299999999999999,4
0,0,1,1,0,0,1,1,0.0,-0.9299999999999999,2
0,1,1,0,0,0,1,1,0.0,-0.9299999999999999,4
1,0,0,1,0,1,1,0,0.0,-0.9299999999999999,10
0,0,0,1,0,1,1,1,0.0,-0.9299999999999999,4
0,1,0,0,1,1,1,1,0.0,-0.9273093660611023,1
0,1,1,0,1,0,1,1,0.0,-0.9273093660611023,2
0,1,1,0,1,0,0,1,0.0,-0.9273093660611023,2
1,1,0,0,1,1,0,0,0.0,-0.9273093660611023,4
1,1,1,0,1,0,0,0,0.0,-0.9273093660611023,2
1,1,0,0,1,1,1,0,0.0,-0.9273093660611023,5
1,1,1,0,1,0,1,0,0.0,-0.9273093660611023,2
0,1,0,1,0,1,0,0,0.0,-0.8173670597255278,1
1,1,1,1,0,0,0,1,0.0,-0.8145944357142239,1
1,1,0,0,0,1,1,1,0.0,-0.697227375988696,1
1,1,1,1,1,0,0,0,0.0,-0.6823291531765471,1
0,0,1,0,0,0,1,1,0.0,-0.68,1
1,1,0,1,0,0,0,0,0.0,-0.5973670597255278,1
