0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
1,1,1,0,0,1,0.0,-0.3351273942437076,179
0,1,1,1,0,0,0.0,-0.3351273942437076,118
0,1,1,1,0,1,0.0,-0.3351273942437076,159
1,1,1,0,0,0,0.0,-0.3351273942437076,180
1,0,0,0,1,1,0.0,-0.33,85
0,0,0,1,1,0,0.0,-0.33,62
0,0,0,1,1,1,0.0,-0.33,81
1,0,0,0,1,0,0.0,-0.33,84
0,0,1,1,0,0,0.0,-0.28,1
0,0,1,1,0,1,0.0,-0.28,3
1,0,1,0,0,1,0.0,-0.28,7
1,0,1,0,0,0,0.0,-0.28,5
1,1,0,0,1,1,0.0,-0.2785006515436371,4
0,1,0,1,1,0,0.0,-0.2785006515436371,5
0,1,0,1,1,1,0.0,-0.2785006515436371,2
1,1,0,0,1,0,0.0,-0.2785006515436371,5
1,1,1,1,0,1,0.0,-0.2734874241888771,3
1,0,0,1,1,1,0.0,-0.2683600299451695,2
1,0,0,1,1,0,0.0,-0.2683600299451695,5
0,1,1,0,0,1,0.0,-0.2651273942437076,2
0,1,0,1,0,0,0.0,-0.26,2
1,1,0,0,0,0,0.0,-0.26,1
0,0,0,0,1,0,0.0,-0.26,1
1,0,1,0,1,1,0.0,-0.2584860838378876,1
0,0,1,1,1,0,0.0,-0.2584860838378876,2
1,1,1,0,1,0,0.0,-0.07211412962523234,1
