n,sparsity,distribution,seed,solution_first,value_first,solution_most,value_most,annealer_tte,solution_gurobi,value_gurobi,gurobi_tte
2,0.0,random,222,01,-100.0,10,-100.0,5.7057,01,-100.0,0.005
3,0.0,random,222,001,-102.88,001,-102.88,5.3081,110,-102.88,0.0031
4,0.0,random,222,1000,-184.81,0111,-184.81,5.1454,0111,-184.81,0.004
5,0.0,random,222,10001,-303.54,10001,-303.54,5.3394,01110,-303.54,0.003
6,0.0,random,222,100001,-339.48,100001,-339.48,5.2379,011110,-339.48,0.0047
7,0.0,random,222,0011101,-338.58,1100010,-338.58,5.4099,1100010,-338.58,0.012
8,0.0,random,222,01101001,-463.12,01101001,-463.12,5.2908,01101001,-463.12,0.0116
9,0.0,random,222,001010010,-564.24,001010010,-564.24,5.2704,110101101,-564.24,0.1952
10,0.0,random,222,0111010001,-499.06,1000101110,-499.06,5.3992,0111010001,-499.06,0.015
11,0.0,random,222,10000111100,-585.36,10000111100,-585.36,5.3602,01111000011,-585.36,0.0185
12,0.0,random,222,010100000001,-719.57,101011111110,-719.57,5.627,101011111110,-719.57,0.019
13,0.0,random,222,1000001110100,-969.09,1000001110100,-969.09,5.3857,0111110001011,-969.09,0.023
14,0.0,random,222,11010010110001,-986.09,00101101001110,-986.09,5.4101,11010010110001,-986.09,0.026
15,0.0,random,222,001000000100001,-1320.43,110111111011110,-1320.43,5.3513,110111111011110,-1320.43,0.3138
16,0.0,random,222,1010011010001101,-1426.52,0101101111010010,-1407.03,5.6953,1010011010001101,-1426.52,0.0358
17,0.0,random,222,00001001010100101,-1742.37,11110110101011010,-1742.37,6.2366,11110110101011010,-1742.37,0.0402
18,0.0,random,222,110011111001010101,-1805.74,001100000110101010,-1805.74,5.4981,001100000110101010,-1805.74,0.0626
19,0.0,random,222,1111011011100010000,-1811.09,1111011011100010000,-1811.09,5.994,0000100100011101111,-1811.09,0.1001
20,0.0,random,222,01101101010010110101,-2196.04,01101101110010110101,-2190.4,5.7531,10010010101101001010,-2196.04,0.0796
21,0.0,random,222,111011100001110101101,-2135.03,000100011110001010010,-2135.03,5.6483,111011100001110101101,-2135.03,0.1103
22,0.0,random,222,1100011110011000000101,-2484.16,1100011110011000000101,-2484.16,6.5655,0011100001100111111010,-2484.16,0.1155
23,0.0,random,222,11100110010101001010101,-2402.5,00011001101010110101010,-2402.5,5.8606,00011001101010110101010,-2402.5,0.4477
24,0.0,random,222,001011100111011110010111,-2530.73,110100011000100001101000,-2530.73,5.966,001011100111011110010111,-2530.73,0.0469
25,0.0,random,222,0011011111000011010101110,-3065.4,1100100000111100101010001,-3065.4,6.1649,1100100000111100101010001,-3065.4,0.0536
26,0.0,random,222,10011110110101100010111001,-3094.23,10011110110101100010111001,-3094.23,6.1679,01100001001010011101000110,-3094.23,0.0584
