n,sparsity,mean,min,max,lower,upper
2,0.0,0.01615,0.005,0.0488,-0.005619933394477809,0.037919933394477814
2,0.5,0.020600000000000004,0.002,0.0714,-0.013309290762267497,0.0545092907622675
2,1.0,0.004775,0.0021,0.01,0.0012062700671901022,0.008343729932809896
3,0.0,0.0030666666666666668,0.003,0.0031,0.0030089316397477043,0.003124401693585629
3,0.5,0.00695,0.003,0.0147,0.0016368088684859073,0.012263191131514091
3,1.0,0.0065249999999999996,0.0031,0.014,0.0014816049794475414,0.011568395020552458
4,0.0,0.005033333333333333,0.0031,0.008,0.0024250133120680487,0.007641653354598618
4,0.5,0.008275000000000001,0.003,0.0212,-0.00037654128850268115,0.016926541288502683
4,1.0,0.00775,0.003,0.019,0.00020568646816248454,0.015294313531837515
5,0.0,0.012733333333333333,0.003,0.0312,-0.0032670833279081282,0.028733749994574793
5,0.5,0.009025,0.003,0.024,-0.0009917775922865194,0.01904177759228652
5,1.0,0.008275000000000001,0.003,0.019,0.000983280952569096,0.015566719047430906
6,0.0,0.006933333333333333,0.003,0.0131,0.0015256227888114336,0.012341043877855232
6,0.5,0.0104,0.004,0.026,-3.583569565306262e-05,0.02083583569565306
6,1.0,0.01005,0.0039,0.0255,-0.00027940785653595215,0.020379407856535952
7,0.0,0.0077333333333333325,0.0,0.012,0.0010241356664484665,0.014442531000218198
7,0.5,0.031225,0.005,0.1048,-0.017856046919016173,0.08030604691901617
7,1.0,0.012275,0.004,0.03,0.0003319755366015722,0.02421802446339843
8,0.0,0.015033333333333334,0.0116,0.018,0.011807913464024327,0.018258753202642343
8,0.5,0.013649999999999999,0.0041,0.0375,-0.0022954277668134904,0.029595427766813488
8,1.0,0.014225,0.004,0.0369,-0.0010088165495934307,0.029458816549593432
9,0.0,0.07713333333333335,0.015,0.1952,-0.02516238179361288,0.17942904846027957
9,0.5,0.032924999999999996,0.011,0.0858,-0.0025123978540561934,0.06836239785405618
9,1.0,0.015700000000000002,0.0041,0.0408,-0.0012105489759104693,0.032610548975910474
10,0.0,0.015533333333333335,0.015,0.016,0.015030011037648618,0.016036655629018053
10,0.5,0.05395,0.012,0.1243,0.002122304701057759,0.10577769529894224
10,1.0,0.020975,0.007,0.048,0.002510552179029745,0.03943944782097025
11,0.0,0.017633333333333334,0.0144,0.02,0.014734482986500414,0.020532183680166252
11,0.5,0.052,0.014,0.1054,0.008432734000551896,0.09556726599944809
11,1.0,0.021725,0.006,0.056,-0.00136112498161323,0.04481112498161323
12,0.0,0.0229,0.019,0.0257,0.019417185046546402,0.0263828149534536
12,0.5,0.06555,0.0154,0.1403,0.007139698397171976,0.12396030160282802
12,1.0,0.028025,0.007,0.0668,0.001342374566958373,0.054707625433041626
13,0.0,0.025533333333333335,0.023,0.0286,0.0226954937794943,0.02837117288717237
13,0.5,0.0772,0.019,0.1609,0.009301399130762653,0.14509860086923737
13,1.0,0.0282,0.008,0.0738,-0.002472897917651453,0.05887289791765145
14,0.0,0.022533333333333332,0.0156,0.026,0.016528890533761224,0.02853777613290544
14,0.5,0.0869,0.019,0.1904,0.00777170754612061,0.1660282924538794
14,1.0,0.0327,0.009,0.0868,-0.0037009157393968206,0.06910091573939682
15,0.0,0.23093333333333332,0.0331,0.3459,0.05885450449801921,0.40301216216864744
15,0.5,0.087975,0.023,0.1829,0.012050679127172961,0.16389932087282705
15,1.0,0.035949999999999996,0.009,0.0969,-0.005024016156583919,0.07692401615658391
16,0.0,0.0421,0.0358,0.051,0.034173462294292675,0.05002653770570732
16,0.5,0.10729999999999999,0.023,0.2452,0.004798162618094168,0.20980183738190583
16,1.0,0.041425000000000003,0.012,0.109,-0.003961369099102864,0.08681136909910286
17,0.0,0.04323333333333334,0.0402,0.0487,0.03848956549190883,0.04797710117475785
17,0.5,0.1031,0.029,0.224,0.013516593798479234,0.19268340620152075
17,1.0,0.0446,0.013,0.116,-0.0034085409068011566,0.09260854090680115
18,0.0,0.06033333333333333,0.0479,0.0705,0.04886409912466302,0.07180256754200363
18,0.5,0.121525,0.033,0.2824,0.006646879802984243,0.23640312019701576
18,1.0,0.049749999999999996,0.013,0.134,-0.006844316557996069,0.10634431655799606
19,0.0,0.07843333333333333,0.0602,0.1001,0.058262975544406195,0.09860369112226046
19,0.5,0.14035,0.036,0.3036,0.016077704884260982,0.26462229511573904
19,1.0,0.05355,0.015,0.1409,-0.005098245213873767,0.11219824521387377
20,0.0,0.08539999999999999,0.0705,0.1061,0.06690486550467933,0.10389513449532065
20,0.5,0.18882500000000002,0.0375,0.3873,0.04169323649077905,0.335956763509221
20,1.0,0.058975,0.0161,0.1575,-0.007140423061995652,0.12509042306199564
21,0.0,0.10406666666666665,0.0843,0.1176,0.08656342887095202,0.12156990446238129
21,0.5,0.23445,0.045,0.5857,-0.016242035507047337,0.4851420355070473
21,1.0,0.066,0.0195,0.1744,-0.006778705676866781,0.1387787056768668
22,0.0,0.13353333333333334,0.1155,0.1494,0.11647979020196814,0.15058687646469854
22,0.5,0.17195,0.061,0.3671,0.027636117553900358,0.3162638824460996
22,1.0,0.0723,0.021,0.1915,-0.0076766215840604335,0.15227662158406044
23,0.0,0.44426666666666664,0.4351,0.45,0.4362452370351525,0.4522880962981808
23,0.5,0.20582499999999998,0.0476,0.3729,0.03553437831655751,0.3761156216834425
23,1.0,0.077575,0.027,0.2013,-0.005208185692103767,0.16035818569210378
24,0.0,0.04956666666666667,0.0469,0.052,0.04700867266094005,0.05212466067239329
24,0.5,0.22899999999999998,0.0795,0.4075,0.07375288515831716,0.38424711484168284
24,1.0,0.083625,0.027,0.2154,-0.004730357317293821,0.17198035731729383
25,0.0,0.0539,0.0506,0.0575,0.05044023122159876,0.057359768778401245
25,0.5,0.2546,0.0636,0.5521,0.029644730372161893,0.4795552696278381
25,1.0,0.090375,0.0285,0.24,-0.009776031780339978,0.19052603178033997
26,0.0,0.0584,0.05,0.0668,0.05,0.0668
26,0.5,0.31765,0.1035,0.6058,0.07093498897175576,0.5643650110282442
26,1.0,0.0959,0.0281,0.2546,-0.010636472627922111,0.2024364726279221
27,0.0,0.0661,0.063,0.0698,0.06266052329561604,0.06953947670438397
27,0.5,0.300825,0.0855,0.577,0.05754075780581269,0.5441092421941873
