n,sparsity,distribution,seed,solution_first,value_first,solution_most,value_most,annealer_tte,solution_gurobi,value_gurobi,gurobi_tte
43,0.5,random,111,1011001011110001100110001100110110100110101,-4201.55,0100110100001110011001110011001001011001010,-4201.55,15.374,0100110100001110011001110011001001011001010,-4201.55,1.765
44,0.5,random,111,10110001100111100110100000101110111111100101,-3751.04,01000110010000011001011111010001000000011001,-3696.47,29.3515,10110001100111100110100000101110111111100101,-3751.04,4.6452
45,0.5,random,111,001001011100000010101100000101010000000001111,-4043.29,110010100011111101010011101110101111111110000,-3932.44,23.296,110110100011111101010011111010101111111110000,-4043.29,5.2231
46,0.5,random,111,1001001010111010001011100101000100000001011010,-4183.98,1000100111110000011011111011000101101000101101,-3965.83,23.0738,1001001010111010001011100101000100000001011010,-4183.98,2.6836
47,0.5,random,111,10100110111111100110110100100100011001001101010,-4428.98,10111111001100000101001111111111110100010111101,-4241.76,29.8113,01011001000000011001001011011011100110110010101,-4428.98,6.3334
48,0.5,random,111,111110001001010100010111100010001101111010101101,-4446.57,000001110110101011101000011101110010000101010010,-4446.57,18.1734,111110001001010100010111100010001101111010101101,-4446.57,8.8071
49,0.5,random,111,0111000111000010011100001001001011110011001110011,-4532.75,0000101101011001111110000110001000110000010101011,-4353.82,22.9546,1000111000111101100011110110110100001100110001100,-4532.75,4.4883
2,1.0,random,111,01,-100.0,10,-100.0,5.2021,01,-100.0,0.004
3,1.0,random,111,101,-100.0,101,-100.0,5.2888,010,-100.0,0.005
4,1.0,random,111,1001,-120.51,0110,-120.51,5.1166,0110,-120.51,0.005
5,1.0,random,111,01110,-147.65,01110,-147.65,5.0303,10001,-147.65,0.0065
6,1.0,random,111,101010,-147.65,101010,-147.65,5.0712,010101,-147.65,0.0058
7,1.0,random,111,0000001,-149.33,0000001,-149.33,5.6113,0000001,-149.33,0.0081
8,1.0,random,111,01010111,-168.69,10101000,-168.69,7.8073,01010111,-168.69,0.008
9,1.0,random,111,010101101,-175.21,101010010,-175.21,5.8005,010101101,-175.21,0.01
10,1.0,random,111,1010100100,-175.21,0101011011,-175.21,5.0812,0101011011,-175.21,0.012
11,1.0,random,111,10101001000,-175.21,10101001000,-175.21,5.0744,01010110111,-175.21,0.014
12,1.0,random,111,010111111011,-176.07,101000000100,-176.07,5.0269,101000000100,-176.07,0.0151
13,1.0,random,111,0111010001101,-176.07,1000101110010,-176.07,5.0258,0111010001101,-176.07,0.018
