n,sparsity,distribution,seed,solution_first,value_first,solution_most,value_most,annealer_tte,solution_gurobi,value_gurobi,gurobi_tte
2,0.5,random,333,01,-100.0,01,-100.0,5.5329,01,-100.0,0.002
2,1.0,random,333,10,-100.0,10,-100.0,5.3091,01,-100.0,0.003
3,0.5,random,333,010,-100.0,101,-100.0,5.2699,101,-100.0,0.006
3,1.0,random,333,101,-100.0,010,-100.0,5.449,101,-100.0,0.004
4,0.5,random,333,0111,-147.85,0111,-147.85,5.2857,0111,-147.85,0.004
4,1.0,random,333,0011,-147.85,0011,-147.85,5.4367,0011,-147.85,0.004
5,0.5,random,333,10001,-71.29,10001,-71.29,5.5153,01110,-71.29,0.0041
5,1.0,random,333,00111,-147.85,11000,-147.85,5.5204,11000,-147.85,0.0046
6,0.5,random,333,111110,-20.46,000001,-20.46,5.1897,000001,-20.46,0.0056
6,1.0,random,333,001110,-147.85,001110,-147.85,5.3518,001110,-147.85,0.005
7,0.5,random,333,1000000,-22.91,0111111,-22.91,5.4028,1000000,-22.91,0.0091
7,1.0,random,333,1101001,-147.85,0010110,-147.85,5.5291,1101001,-147.85,0.007
8,0.5,random,333,00110001,-13.85,11001110,-13.85,5.3255,11001110,-13.85,0.007
8,1.0,random,333,01110110,-147.85,10001001,-147.85,5.3257,10001001,-147.85,0.008
9,0.5,random,333,001001000,-188.72,110110111,-188.72,5.2773,001001000,-188.72,0.015
9,1.0,random,333,111101110,-147.85,001011011,-146.67,5.2656,111101110,-147.85,0.0079
10,0.5,random,333,1110111011,-121.02,1110111011,-121.02,5.1447,1110111011,-121.02,0.018
10,1.0,random,333,1111011100,-147.85,0010110111,-146.67,5.4726,1111011100,-147.85,0.0169
11,0.5,random,333,11100111101,-216.08,00011000010,-216.08,5.5255,00011000010,-216.08,0.019
11,1.0,random,333,00001000110,-189.16,00001000110,-189.16,5.459,11110111001,-189.16,0.0109
12,0.5,random,333,010110100000,-294.16,101001011111,-294.16,5.4177,101001011111,-294.16,0.023
12,1.0,random,333,001011011010,-189.16,110100100101,-189.16,5.2723,001011011010,-189.16,0.0232
13,0.5,random,333,0001000000011,-297.77,1110111111100,-297.77,8.2902,1110111111100,-297.77,0.025
13,1.0,random,333,0000100010010,-189.16,0000100010010,-189.16,5.3561,1111011101101,-189.16,0.013
14,0.5,random,333,00110010010100,-364.49,00110010010100,-364.49,5.5276,11001101101011,-364.49,0.0315
14,1.0,random,333,11000001001000,-189.16,00111110110111,-189.16,5.504,00111110110111,-189.16,0.014
15,0.5,random,333,001010100000000,-539.22,110101011111111,-539.22,5.6231,110101011111111,-539.22,0.0305
15,1.0,random,333,110000010001000,-189.16,001111101110111,-189.16,5.608,001111101110111,-189.16,0.016
16,0.5,random,333,0001011000000000,-351.13,0001011000000000,-351.13,5.5039,1110100111111111,-351.13,0.036
16,1.0,random,333,1101001001100010,-189.16,1101001001100010,-189.16,5.5711,0010110110011101,-189.16,0.0192
17,0.5,random,333,00000010000001010,-500.01,00000010000001010,-500.01,5.6637,11111101111110101,-500.01,0.0418
17,1.0,random,333,00110110011101101,-189.16,00110110011101101,-189.16,5.5286,00110110011101101,-189.16,0.0211
18,0.5,random,333,000101111000100001,-523.2,000101111000100001,-523.2,5.5316,111010000111011110,-523.2,0.045
18,1.0,random,333,001111100111101101,-253.06,110000011000010010,-253.06,5.4329,110000011000010010,-253.06,0.022
19,0.5,random,333,1011110010000111010,-558.2,1011110010000111010,-558.2,6.0242,1011110010000111010,-558.2,0.0515
19,1.0,random,333,0011111001111010110,-253.06,1100000110000101001,-253.06,5.2857,1100000110000101001,-253.06,0.0267
20,0.5,random,333,11011111101111101011,-652.06,00100000010000010100,-652.06,5.8205,11011111101111101011,-652.06,0.1375
20,1.0,random,333,11101010000001000011,-340.43,00010101111110111100,-340.43,5.3723,00010101111110111100,-340.43,0.028
21,0.5,random,333,111101111110010111101,-917.31,111101111110010111101,-917.31,5.9714,111101111110010111101,-917.31,0.0636
21,1.0,random,333,111010100010011000110,-406.37,000101011101100111001,-406.37,5.444,111010100010011000110,-406.37,0.0295
22,0.5,random,333,0101010100111100001110,-918.32,1010101011000011110001,-918.32,5.7051,0101010100111100001110,-918.32,0.0645
22,1.0,random,333,0011100111111100011100,-450.72,0011100111111100011100,-450.72,5.4823,0011100111111100011100,-450.72,0.0337
23,0.5,random,333,10000001110010011011010,-1251.06,01111110001101100100101,-1251.06,5.9719,10000001110010011011010,-1251.06,0.071
23,1.0,random,333,10000000110010101010101,-450.72,01111111001101010101010,-450.72,5.5169,10000000110010101010101,-450.72,0.038
