n,sparsity,seed,solution_lowest,value_lowest,solution_most,value_most,annealer_tte
100,0.5,222,1101100011100101111010011011111100000101100111011000111111100011111111101011111100011010100000111101,-11743.94,1101100011100101111010011011111100000101100111011000111111100011111111101011111100011010100000111101,-11743.94,54.6623
101,0.5,222,11100111100100000110000111000001000011100001101101011001001001001011101001000110010011011000011110011,-12907.49,11100111100100000110000111000001000011100001101101011001001001001011101001000110010011011000011110011,-12907.49,81.1501
102,0.5,222,111000001001000011010111111101111110000110011011111100100010010001111100001000101100111001010001111001,-11476.76,000010010110100001111111011111010110110100011011001111011101010011101111101011101100111001011001011000,-11659.96,69.6326
103,0.5,222,0001011010110101000111001100100101111001111101001101111111000101111010110000010011010001000011110101000,-11782.3,0001011010110101000111001100100101111001111101001101111111000101111010110000010011010001000011110101000,-11782.3,41.667
104,0.5,222,10000001001010110100111101110011111001111111100110110011111110000010111100111111101011010011101101101101,-13168.2,10000001001010110101111101110011111001100100100010110011011100000010110100110111011011000011101101011101,-13312.65,123.5065
105,0.5,222,011001011100110101100111110001011110011010001110110000101101110110110011011101000001111000000011110101000,-13420.09,001101011100110101100111110001011110010010001110110000101100110010110001001001100011111000000011110101000,-13671.74,332.2881
106,0.5,222,0110101010110001001100101010110101000011010011000000001101101101010100100110111000010110010001011110001011,-13330.87,0110101010110001001100101010110101000011010011000000001101101101010100100110111000010110010001011110001011,-13330.87,68.3523
107,0.5,222,10100101001101010001010010110010001100101000101101111000001100001011010001000001100101100010100111101100010,-13573.41,01011010110001100110101101001101110011010101010000010110110011110000101110111010011010011101011110010011101,-13762.29,74.7369
108,0.5,222,100101000010100010001111011111101011000001111000111011001100111111010000101101110110001001101111101101101001,-14238.9,100101000010100010001111011111101011000001111000111011001100111111010000101101110110001001101111101101101001,-14238.9,84.1014
109,0.5,222,1000010001001000010101110111000101010111100110110101110111101101100001110011100111111001111010010100010100000,-13989.13,1010000110100111111101101011001101110101000010110000000011000100100001011100101010011010010101111100011011100,-14084.85,50.4988
110,0.5,222,01001001111101111010101011001001011011001011110001100101111001010111110111111100011000100101000001111101011101,-13834.37,01001001111101111010101011001001011011001011110001100101111001010111110111111100011000100101000001111101011101,-13834.37,110.1241
111,0.5,222,011100100010010101100000001010011001100001101000000010110010000000000000000100000001101101100101011001001100011,-15415.39,011110100011010101100010000010010001100001101001100000110101000000001000000000000001101100100101011001001100011,-15499.54,193.0867
112,0.5,222,0111100100111111001011000000010010111101010000000100100110110100101111010000010110101110010101000110000111010111,-13959.72,1000010011110110100100011101111101101110011011111010111011011011010100101111011001011001101010011011101001101000,-14112.85,415.7121
113,0.5,222,00101000010010111000001000011010110111011010111000111010111010101010001010100101001011110010011010111010001011001,-14360.77,10101000011010111111001000011010111011011010110000011000110010111000001000100001000011110010001011110010011011101,-14518.51,267.7184
114,0.5,222,110110101111101010110010011001000000000101011101110000110111110000011001111001100011111101011010011010000101000000,-15356.14,110110101111101010110010011001000000000101011101110000110111110000011001111001100011111101011010011010000101000000,-15356.14,323.5776
115,0.5,222,1100101101110011001010001101111111100100111111011000110100011010110011010111000111011100011011001111100101111010110,-15088.67,0000001100100001101011110011101011110100110101100110111100111001101001000111000111100001111101111101111101111000010,-15613.94,348.419
116,0.5,222,00010001110010011011001101110110011101101000100001111100101010011010111001000000101000111100101110011100001101110111,-16616.2,00010001110010011011001101110110011101101000100001111100101010011010111001000000101000111100101110011100001101110111,-16616.2,294.7439
117,0.5,222,000000100100100101000010011101011100100101001001000100100011111011011011001010010001001101011100111011001010100110010,-16147.33,000000100100100101000010011101011100100101001001000100100011111011011011001010010001001101011100111011001010100110010,-16147.33,346.7308
118,0.5,222,1010111001111010111111000110101100000100001111000010000000100010111010010011111111010101110100101001100000110010010000,-16892.84,1010111001111010111111000110101100000100001111000010000000100010111010010011111111010101110100101001100000110010010000,-16892.84,170.4622
119,0.5,222,11111000111110100011110111111100010010000101101100111111000010101110001100111010111000101010011010110000010101010011101,-17248.76,11111000101110100101111111111000010100001101111101110011001010101011001100111000111100101111011010100010011101010001000,-17394.63,221.0889
120,0.5,222,001110101000111010111000111001111100001010100000000001000100101000111110010111000001101101100100010111110000111111101101,-16818.58,001110101000111010111000111001111100001010100000000001000100101000111110010111000001101101100100010111110000111111101101,-16818.58,217.8498
121,0.5,222,0001111011101000111000010110110101110101011011101010011010001001011100001001010111000011011000100111101100011111110111011,-16387.23,0001111011101000111000010110110101110101011011101010011010001001011100001001010111000011011000100111101100011111110111011,-16387.23,206.7027
122,0.5,222,01111110101010001100110011100110110111110101011100011110111101101100011111111101011101111000110000001101000100000001110010,-17180.74,01111010111000111010100010100000110101100001011101011110110100101001110110110001011111110000010011100101000000101000000011,-17611.2,138.8781
