n,sparsity,seed,solution_gurobi,value_gurobi,gurobi_tte
2,0.5,333,01,-100.0,0.0714
2,1.0,333,01,-100.0,0.01
3,0.5,333,101,-100.0,0.0147
3,1.0,333,101,-100.0,0.014
4,0.5,333,0111,-147.85,0.0212
4,1.0,333,0011,-147.85,0.019
5,0.5,333,01110,-71.29,0.024
5,1.0,333,11000,-147.85,0.019
6,0.5,333,000001,-20.46,0.026
6,1.0,333,001110,-147.85,0.0255
7,0.5,333,1000000,-22.91,0.1048
7,1.0,333,1101001,-147.85,0.03
8,0.5,333,11001110,-13.85,0.0375
8,1.0,333,10001001,-147.85,0.0369
9,0.5,333,001001000,-188.72,0.0858
9,1.0,333,111101110,-147.85,0.0408
10,0.5,333,1110111011,-121.02,0.1243
10,1.0,333,1111011100,-147.85,0.048
11,0.5,333,00011000010,-216.08,0.1054
11,1.0,333,11110111001,-189.16,0.056
12,0.5,333,101001011111,-294.16,0.1403
12,1.0,333,001011011010,-189.16,0.0668
13,0.5,333,1110111111100,-297.77,0.1609
13,1.0,333,1111011101101,-189.16,0.0738
14,0.5,333,11001101101011,-364.49,0.1904
14,1.0,333,00111110110111,-189.16,0.0868
15,0.5,333,110101011111111,-539.22,0.1829
15,1.0,333,001111101110111,-189.16,0.0969
16,0.5,333,1110100111111111,-351.13,0.2452
16,1.0,333,0010110110011101,-189.16,0.109
17,0.5,333,11111101111110101,-500.01,0.224
17,1.0,333,00110110011101101,-189.16,0.116
18,0.5,333,111010000111011110,-523.2,0.2824
18,1.0,333,110000011000010010,-253.06,0.134
19,0.5,333,1011110010000111010,-558.2,0.3036
19,1.0,333,1100000110000101001,-253.06,0.1409
20,0.5,333,11011111101111101011,-652.06,0.3873
20,1.0,333,00010101111110111100,-340.43,0.1575
21,0.5,333,111101111110010111101,-917.31,0.5857
21,1.0,333,111010100010011000110,-406.37,0.1744
22,0.5,333,0101010100111100001110,-918.32,0.3671
22,1.0,333,0011100111111100011100,-450.72,0.1915
23,0.5,333,10000001110010011011010,-1251.06,0.3729
23,1.0,333,10000000110010101010101,-450.72,0.2013
24,0.5,333,000001000100111100101001,-1665.1,0.4075
24,1.0,333,011111110011010111001011,-450.72,0.2154
25,0.5,333,1110101000111111011100100,-1374.31,0.5521
25,1.0,333,0111100100111101111010100,-450.72,0.24
26,0.5,333,11011110000001100101111111,-1194.02,0.6058
26,1.0,333,00000110100000001110111011,-450.72,0.2546
27,0.5,333,100011110010101101100111100,-1418.19,0.577
27,1.0,333,010001101100001111101110111,-450.72,0.2752
28,0.5,333,1111001001100110110010101011,-1281.4,0.731
28,1.0,333,0011100101111101011011010101,-450.72,0.2935
29,0.5,333,10101111111111111100110100011,-1918.6,0.6441
29,1.0,333,11000110100000101001011010100,-549.86,0.3075
30,0.5,333,110100000011111100100111100010,-1800.79,0.8927
30,1.0,333,001110010111110101101001010111,-549.86,0.3239
31,0.5,333,0011001000110100100110101001000,-1910.51,0.8134
31,1.0,333,0011100101111101011011100101110,-625.98,0.3355
32,0.5,333,00100100101000010000101100101010,-1810.77,1.2048
32,1.0,333,11100100011100110110100100110000,-625.98,0.476
33,0.5,333,101101110010110110011110010011111,-2576.15,0.8156
33,1.0,333,110110101100000010001100110011111,-625.98,0.3694
34,0.5,333,0000111101011001101000111010110001,-2270.75,1.0308
34,1.0,333,0001111111110101100101111111111010,-643.04,0.3938
35,0.5,333,00000010000010010110000011101101101,-2460.84,1.0806
35,1.0,333,00110001001101001111011010100110100,-683.72,0.4319
36,0.5,333,001110001011000100101001101110010010,-2914.97,1.3933
36,1.0,333,000110101000100010010110111001100111,-683.72,0.458
37,0.5,333,1011101101101110100010011101110100010,-3288.17,1.219
37,1.0,333,0101101001000000100101010100111101111,-683.72,0.461
38,0.5,333,11001011010100010111001011101001010110,-3096.71,1.4616
38,1.0,333,10011011111101001001011001100111001011,-689.23,0.485
39,0.5,333,001000110110101110001000000111010101100,-3001.15,1.8322
39,1.0,333,100110111111010010010110011001110010011,-702.81,0.5141
40,0.5,333,0001001101101110010001011000100100011001,-3271.06,1.4659
40,1.0,333,1110000101101110011110101000000001001001,-702.81,0.5518
41,0.5,333,01111001110100001011000111101110001111110,-3625.52,1.6061
41,1.0,333,11001011111101001001001011101110100011000,-702.81,0.6365
42,0.5,333,111110111101101011100101010010100110011001,-2985.48,4.0717
