0,1,2,3,4,5,6,7,8,9,chain_break_fraction,energy,num_occurrences
1,0,0,1,1,0,1,1,0,1,0.0,-4.348007460420276,28
0,1,0,0,1,0,1,0,1,1,0.0,-4.338224153308393,104
1,0,1,1,0,1,0,1,0,0,0.0,-4.335893330795043,31
0,1,1,0,0,1,0,0,1,0,0.0,-4.32611002368316,112
0,0,0,1,1,0,1,1,1,1,0.0,-4.2665539545918785,20
1,1,0,0,1,0,1,0,0,1,0.0,-4.264147590210224,19
0,0,1,1,0,1,0,1,1,0,0.0,-4.2544398249666475,33
1,1,1,0,0,1,0,0,0,0,0.0,-4.252033460584993,24
1,0,0,0,1,0,1,1,1,1,0.0,-4.250474159570401,9
1,0,0,1,1,0,0,1,0,1,0.0,-4.244393982338681,8
0,1,0,1,1,0,1,0,0,1,0.0,-4.242946909051743,19
0,0,0,1,1,0,1,1,0,1,0.0,-4.242114129625231,13
1,0,1,1,0,1,1,1,0,0,0.0,-4.241793515893054,14
1,0,0,1,1,0,1,1,1,1,0.0,-4.240807315332092,6
1,1,0,0,1,0,1,0,1,1,0.0,-4.2386176438385545,18
1,0,1,0,0,1,0,1,1,0,0.0,-4.23836002994517,17
0,1,0,0,1,0,0,0,1,1,0.0,-4.234610675226798,38
0,1,0,0,1,0,1,0,0,1,0.0,-4.232114129625232,28
0,1,1,0,0,1,1,0,1,0,0.0,-4.232010208781171,35
0,1,1,1,0,1,0,0,0,0,0.0,-4.230832779426511,16
0,0,1,1,0,1,0,1,0,0,0.0,-4.23,24
1,0,1,1,0,1,0,1,1,0,0.0,-4.2286931857068595,8
1,1,1,0,0,1,0,0,1,0,0.0,-4.226503514213324,28
0,1,1,0,0,1,0,0,0,0,0.0,-4.220000000000001,25
1,0,0,1,0,0,1,1,0,1,0.0,-4.1843794146329305,2
1,0,1,1,1,1,0,1,0,0,0.0,-4.177193287987275,10
0,1,0,0,0,0,1,0,1,1,0.0,-4.174596107521048,19
