0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
1,0,0,1,1,0,0.0,-0.13,55
1,1,0,1,0,0,0.0,-0.13,20
0,0,0,1,1,1,0.0,-0.13,53
1,1,1,0,0,0,0.0,-0.13,55
1,1,0,1,1,0,0.0,-0.13,22
0,1,0,1,1,1,0.0,-0.13,35
1,1,1,0,1,0,0.0,-0.13,58
0,1,1,0,0,1,0.0,-0.13,75
1,0,1,0,1,0,0.0,-0.13,118
0,0,0,1,0,1,0.0,-0.13,58
0,1,0,1,0,1,0.0,-0.13,32
0,0,1,0,0,1,0.0,-0.13,111
1,0,0,1,0,0,0.0,-0.13,58
1,0,1,0,0,0,0.0,-0.13,94
0,0,1,0,1,1,0.0,-0.13,100
0,1,1,0,1,1,0.0,-0.13,54
1,1,1,0,1,1,0.0,-0.07941116620445822,1
0,0,1,0,1,0,0.0,-0.07,1
