0,1,2,3,4,5,6,7,8,9,10,11,12,13,chain_break_fraction,energy,num_occurrences
0,0,1,0,1,1,0,1,0,0,0,1,0,0,0.0,-673.6600000000001,836
1,1,0,1,0,0,1,0,1,1,1,0,1,1,0.0,-673.6600000000001,475
1,0,0,0,1,0,1,0,1,0,0,0,0,1,0.0,-656.5899999999999,97
0,1,1,1,0,1,0,1,0,1,1,1,1,0,0.0,-656.5899999999999,76
0,1,1,0,1,1,0,1,0,0,0,1,0,0,0.0,-641.3000000000001,84
1,0,0,1,0,0,1,0,1,1,1,0,1,1,0.0,-641.3000000000001,87
0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.0,-639.4000000000001,61
1,1,1,1,0,1,0,1,0,1,1,1,1,0,0.0,-639.3999999999999,23
0,0,1,0,1,1,0,1,0,0,0,1,0,1,0.0,-620.47,16
1,1,0,1,0,0,1,0,1,1,1,0,1,0,0.0,-620.47,17
0,0,0,0,1,1,0,1,0,0,0,1,0,0,0.0,-614.1700000000001,14
1,1,1,1,0,0,1,0,1,1,1,0,1,1,0.0,-614.1700000000001,4
0,0,1,1,1,1,0,1,0,0,0,1,0,0,0.0,-608.6300000000002,26
1,1,0,0,0,0,1,0,1,1,1,0,1,1,0.0,-608.6300000000001,23
0,0,0,0,1,1,1,1,1,0,0,1,0,0,0.0,-606.0,26
1,1,1,1,0,0,0,0,0,1,1,0,1,1,0.0,-606.0,19
1,1,0,0,0,0,1,0,1,1,0,0,1,1,0.0,-599.86,4
0,0,1,1,1,1,0,1,0,0,1,1,0,0,0.0,-599.8600000000001,13
0,0,0,0,1,1,1,1,0,0,0,1,0,0,0.0,-597.8399999999999,12
1,1,1,1,0,0,0,0,1,1,1,0,1,1,0.0,-597.84,9
1,0,0,0,1,0,1,0,1,0,0,0,0,0,0.0,-590.6399999999999,4
0,1,1,1,0,1,0,1,0,1,1,1,1,1,0.0,-590.6399999999999,1
1,0,0,1,0,0,1,0,1,1,1,0,1,0,0.0,-588.11,3
0,1,1,0,1,1,0,1,0,0,0,1,0,1,0.0,-588.11,3
0,0,0,0,1,0,1,0,0,0,0,1,0,1,0.0,-587.2700000000001,9
1,1,1,1,0,1,0,1,1,1,1,0,1,0,0.0,-587.27,6
1,0,1,1,0,0,1,0,1,1,1,0,1,1,0.0,-581.8100000000002,1
0,0,0,1,1,1,1,0,0,0,0,1,0,0,0.0,-580.2700000000002,4
1,1,1,0,0,0,0,1,1,1,1,0,1,1,0.0,-580.2699999999999,6
0,0,0,1,1,1,1,1,1,0,0,1,0,0,0.0,-577.3300000000002,4
1,1,1,0,0,0,0,0,0,1,1,0,1,1,0.0,-577.33,2
0,0,0,1,1,1,1,1,0,0,0,1,0,0,0.0,-569.1700000000001,5
1,1,1,0,0,0,0,0,1,1,1,0,1,1,0.0,-569.1700000000001,4
1,0,0,1,0,0,1,0,1,1,1,0,0,1,0.0,-564.5600000000001,3
0,1,1,0,1,1,0,1,0,0,0,1,1,0,0.0,-564.5600000000002,2
0,0,0,1,1,1,1,0,1,0,0,0,0,0,0.0,-553.94,5
0,0,0,1,1,1,1,0,0,0,0,1,0,1,0.0,-552.4000000000002,3
0,0,1,1,1,1,0,1,0,0,1,1,0,1,0.0,-546.6700000000001,1
0,0,1,1,1,1,1,0,0,0,0,1,0,0,0.0,-528.7400000000002,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1,0.0,-527.5,1
1,1,0,1,1,0,1,0,1,1,1,0,1,1,0.07142857142857142,-392.5799999999997,1
0,0,1,0,1,1,0,1,0,0,0,1,0,0,0.07142857142857142,-673.6600000000001,1
1,1,1,0,0,0,0,1,1,1,0,0,1,1,0.0,-523.4399999999999,1
0,0,1,1,1,1,1,0,0,0,1,1,0,0,0.0,-519.9700000000003,1
1,0,0,0,1,0,1,0,1,0,1,0,0,1,0.0,-489.6399999999999,1
0,1,1,1,0,0,1,0,0,1,1,1,1,1,0.0,-489.0299999999999,1
1,1,1,0,1,1,0,1,0,1,1,1,1,0,0.0,-487.51000000000005,1
1,1,1,1,0,0,0,1,1,1,1,0,1,0,0.0,-481.29,1
1,1,1,1,0,0,1,0,0,1,1,1,1,1,0.0,-468.28,1
1,0,0,1,1,0,1,0,1,1,1,0,0,1,0.0,-455.81999999999977,1
