0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,1,1,0,1,1,0,0,1,0.0,-436.55,1426
1,0,0,1,0,0,1,1,0,0.0,-436.55,507
0,1,1,0,1,1,1,0,1,0.0,-381.80000000000007,14
1,0,0,1,0,0,0,1,0,0.0,-381.8,5
1,0,0,1,1,0,1,1,0,0.0,-374.12000000000006,19
0,1,1,0,0,1,0,0,1,0.0,-374.12,19
1,0,1,1,0,0,1,1,0,0.0,-353.20000000000005,2
1,1,0,0,0,1,0,0,1,0.0,-341.67,1
0,0,1,1,1,0,1,1,0,0.0,-341.67,1
0,0,0,1,1,0,1,1,0,0.0,-336.08,3
1,1,1,0,0,1,0,0,1,0.0,-336.08,1
1,0,0,1,1,0,0,1,0,0.0,-319.37000000000006,1
1,1,0,0,1,1,0,0,1,0.0,-248.15999999999997,1
