0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,chain_break_fraction,energy,num_occurrences
0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0.0,-8.824034060846682,7
1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0.0,-8.824025509938505,12
0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0.0,-8.822538360161593,30
1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0.0,-8.822529809253414,31
1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0.0,-8.821336203140365,7
1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0.0,-8.819840502455277,20
0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0.0,-8.814034060846682,16
0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0.0,-8.813993330729254,26
1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0.0,-8.813984779821077,17
0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0.0,-8.812538360161591,29
0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0.0,-8.812497630044165,88
1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0.0,-8.812489079135986,45
1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0.0,-8.81129547302294,13
1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0.0,-8.809799772337849,35
0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0.0,-8.803993330729254,19
0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0.0,-8.802497630044165,67
0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0.0,-8.747955444673078,11
1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0.0,-8.747946893764901,8
1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0.0,-8.745257586966762,4
0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0.0,-8.737955444673078,8
0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0.0,-8.73791471455565,11
1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0.0,-8.737906163647473,8
0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0.0,-8.737200914751933,16
1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0.0,-8.737192363843754,10
1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0.0,-8.735216856849336,11
1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0.0,-8.734503057045616,11
0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0.0,-8.72791471455565,17
0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0.0,-8.727200914751931,15
0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0.0,-8.727160184634505,37
1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0.0,-8.727151633726326,23
1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0.0,-8.724462326928188,16
0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0.0,-8.717160184634505,26
0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0.0,-8.568885368902981,1
1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0.0,-8.568876817994804,1
0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0.0,-8.567389668217892,6
0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0.0,-8.562347250419535,1
1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0.0,-8.562338699511358,5
0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0.0,-8.560851549734446,9
1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0.0,-8.560842998826269,3
1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0.0,-8.55964939271322,2
1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0.0,-8.558153692028132,5
0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0.0,-8.557389668217892,2
0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0.0,-8.552347250419535,4
0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0.0,-8.550851549734446,7
1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0.0,-8.544034060846682,1
1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0.0,-8.542538360161592,2
0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0.0,-8.540296960570366,1
1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0.0,-8.533993330729254,1
1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0.0,-8.532497630044166,5
0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0.0,-8.531751931138027,2
0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0.0,-8.530256230452938,1
0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0.0,-8.493325053058843,2
1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0.0,-8.493316502150664,3
1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0.0,-8.490627195352527,1
0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0.0,-8.48938957173513,2
1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0.0,-8.489381020826952,2
1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0.0,-8.486691714028813,1
0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0.0,-8.486268634245931,1
1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0.0,-8.486260083337754,1
0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0.0,-8.483325053058842,3
0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0.0,-8.483284322941415,6
1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0.0,-8.483275772033236,3
0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0.0,-8.482806752729378,1
0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0.0,-8.482052222808232,1
1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0.0,-8.480586465235099,3
1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0.0,-8.479354365101916,2
0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0.0,-8.479348841617702,2
