0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
1,1,0,1,0,1,0.0,-0.1,12
1,1,0,1,0,0,0.0,-0.1,15
0,1,0,1,1,0,0.0,-0.1,60
1,0,1,0,0,1,0.0,-0.1,10
1,1,0,1,1,1,0.0,-0.1,16
1,1,0,0,0,1,0.0,-0.1,24
1,0,1,0,0,0,0.0,-0.1,21
0,0,1,1,0,0,0.0,-0.1,13
0,1,0,0,0,1,0.0,-0.1,43
0,1,0,1,0,1,0.0,-0.1,31
1,0,1,1,0,1,0.0,-0.1,9
0,1,0,1,1,1,0.0,-0.1,41
0,1,0,0,1,0,0.0,-0.1,69
0,1,0,1,0,0,0.0,-0.1,43
0,0,1,0,0,1,0.0,-0.1,26
1,0,1,1,0,0,0.0,-0.1,13
0,0,1,1,1,1,0.0,-0.1,24
1,1,0,0,0,0,0.0,-0.1,31
1,0,1,1,1,1,0.0,-0.1,18
0,0,1,1,1,0,0.0,-0.1,34
1,1,0,1,1,0,0.0,-0.1,34
1,1,0,0,1,1,0.0,-0.1,36
0,0,1,0,1,1,0.0,-0.1,30
0,1,0,0,0,0,0.0,-0.1,62
1,1,0,0,1,0,0.0,-0.1,53
1,0,1,1,1,0,0.0,-0.1,19
0,0,1,0,0,0,0.0,-0.1,25
0,0,1,0,1,0,0.0,-0.1,55
1,0,1,0,1,1,0.0,-0.1,23
1,0,1,0,1,0,0.0,-0.1,36
0,0,1,1,0,1,0.0,-0.1,16
0,1,0,0,1,1,0.0,-0.1,58
