0,1,2,3,4,5,6,chain_break_fraction,energy,num_occurrences
1,0,0,1,0,1,0,0.0,-1.14,82
1,0,0,0,0,1,1,0.0,-1.14,112
0,0,0,1,1,1,0,0.0,-1.14,128
0,0,0,0,1,1,1,0.0,-1.14,173
1,1,1,0,0,0,1,0.0,-1.132148582090049,75
0,1,1,1,1,0,0,0.0,-1.132148582090049,97
1,1,1,1,0,0,0,0.0,-1.132148582090049,56
0,1,1,0,1,0,1,0.0,-1.132148582090049,106
1,0,0,1,1,1,0,0.0,-1.0894111662044583,23
1,0,0,0,1,1,1,0.0,-1.0894111662044583,36
1,1,1,1,1,0,0,0.0,-1.0815597482945072,9
1,1,1,0,1,0,1,0.0,-1.0815597482945072,28
0,0,0,0,0,1,1,0.0,-1.08,24
0,0,0,1,0,1,0,0.0,-1.08,13
0,1,1,0,0,0,1,0.0,-1.072148582090049,14
0,1,1,1,0,0,0,0.0,-1.072148582090049,12
0,1,0,1,1,0,0,0.0,-0.9,1
0,0,1,1,1,1,0,0.0,-0.8981286709227867,1
0,0,1,0,1,1,1,0.0,-0.8981286709227867,4
1,0,1,0,0,1,1,0.0,-0.8981286709227867,1
1,0,1,0,0,0,1,0.0,-0.88,1
1,0,1,0,1,1,1,0.0,-0.8475398371272449,1
1,1,0,0,1,1,1,0.0,-0.8407193959236678,2
1,0,1,1,1,0,0,0.0,-0.8294111662044582,1
