0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
1,1,1,1,1,0,0.0,-20.460000000000008,280
0,0,0,0,0,1,0.0,-20.46,905
0,1,0,0,0,1,0.0,-12.400000000000034,245
1,0,1,1,1,0,0.0,-12.400000000000006,189
1,0,0,1,0,1,0.0,-1.6199999999999974,70
0,1,1,0,1,0,0.0,-1.6199999999999761,121
1,1,1,1,1,1,0.0,-2.842170943040401e-14,25
0,0,0,0,0,0,0.0,0.0,107
0,1,1,1,1,0,0.0,17.190000000000026,6
1,0,0,0,0,1,0.0,17.189999999999998,20
0,1,1,0,1,1,0.0,18.840000000000003,10
1,0,0,1,0,0,0.0,18.840000000000003,10
1,0,0,1,1,0,0.0,31.330000000000005,3
0,1,1,0,0,1,0.0,31.329999999999984,2
0,1,1,1,1,1,0.0,37.650000000000006,1
1,0,0,0,0,0,0.0,37.65,2
1,0,0,0,1,0,0.0,50.13999999999999,1
1,1,0,1,0,1,0.0,52.259999999999934,1
0,0,1,0,0,1,0.0,58.970000000000006,1
1,0,1,1,0,0,0.0,68.38999999999999,1
