0,1,2,3,4,5,6,7,8,9,10,11,12,13,chain_break_fraction,energy,num_occurrences
1,1,1,0,0,1,0,0,1,1,0,0,1,0,0.0,-4.904637856277858,26
1,1,1,0,0,1,0,0,1,1,0,0,0,0,0.0,-4.904637856277858,23
1,0,1,1,0,1,0,0,0,1,0,0,0,1,0.0,-4.902454066062096,11
1,0,1,1,0,1,0,0,0,1,0,0,1,1,0.0,-4.902454066062096,13
1,1,0,0,1,0,1,0,1,0,1,0,1,0,0.0,-4.900996648936503,18
1,1,0,0,1,0,1,0,1,0,1,0,0,0,0.0,-4.900996648936503,17
0,1,1,0,0,1,0,1,1,1,0,1,0,0,0.0,-4.898822485343384,63
0,1,1,0,0,1,0,1,1,1,0,1,1,0,0.0,-4.898822485343384,46
1,0,0,1,1,0,1,0,0,0,1,0,0,1,0.0,-4.89881285872074,12
1,0,0,1,1,0,1,0,0,0,1,0,1,1,0.0,-4.89881285872074,8
0,0,1,1,0,1,0,1,0,1,0,1,0,1,0.0,-4.8966386951276215,21
0,0,1,1,0,1,0,1,0,1,0,1,1,1,0.0,-4.8966386951276215,25
0,1,0,0,1,0,1,1,1,0,1,1,1,0,0.0,-4.895181278002029,45
0,1,0,0,1,0,1,1,1,0,1,1,0,0,0.0,-4.895181278002029,47
0,0,0,1,1,0,1,1,0,0,1,1,0,1,0.0,-4.892997487786267,15
0,0,0,1,1,0,1,1,0,0,1,1,1,1,0.0,-4.892997487786267,12
1,1,1,0,0,1,0,0,1,1,1,0,1,0,0.0,-4.835060735471503,17
1,1,1,0,0,1,0,0,1,1,1,0,0,0,0.0,-4.835060735471503,18
1,0,1,1,0,1,0,0,0,1,1,0,0,1,0.0,-4.832876945255741,3
1,0,1,1,0,1,0,0,0,1,1,0,1,1,0.0,-4.832876945255741,10
1,1,0,0,1,0,1,0,1,0,0,0,1,0,0.0,-4.831559748294507,4
1,1,0,0,1,0,1,0,1,0,0,0,0,0,0.0,-4.831559748294507,4
1,0,0,1,1,0,1,0,0,0,0,0,0,1,0.0,-4.829375958078744,3
1,0,0,1,1,0,1,0,0,0,0,0,1,1,0.0,-4.829375958078744,2
0,1,1,0,0,1,0,1,1,1,1,1,1,0,0.0,-4.829245364537029,29
0,1,1,0,0,1,0,1,1,1,1,1,0,0,0.0,-4.829245364537029,27
0,0,1,1,0,1,0,1,0,1,1,1,1,1,0.0,-4.827061574321267,9
0,0,1,1,0,1,0,1,0,1,1,1,0,1,0.0,-4.827061574321267,16
0,1,0,0,1,0,1,1,1,0,0,1,1,0,0.0,-4.825744377360033,11
0,1,0,0,1,0,1,1,1,0,0,1,0,0,0.0,-4.825744377360033,16
0,0,0,1,1,0,1,1,0,0,0,1,0,1,0.0,-4.823560587144271,2
0,0,0,1,1,0,1,1,0,0,0,1,1,1,0.0,-4.823560587144271,8
1,0,1,1,0,1,0,0,0,1,0,0,0,0,0.0,-4.8052266900733995,2
1,0,1,1,0,1,0,0,0,1,0,0,1,0,0.0,-4.8052266900733995,2
1,1,1,0,0,1,0,0,1,1,0,0,0,1,0.0,-4.802599479894896,2
1,1,1,0,0,1,0,0,1,1,0,0,1,1,0.0,-4.802599479894896,6
1,0,0,1,1,0,1,0,0,0,1,0,1,0,0.0,-4.801585482732045,2
1,0,0,1,1,0,1,0,0,0,1,0,0,0,0.0,-4.801585482732045,2
0,0,1,1,0,1,0,1,0,1,0,1,1,0,0.0,-4.799411319138926,4
0,0,1,1,0,1,0,1,0,1,0,1,0,0,0.0,-4.799411319138926,3
1,1,0,0,1,0,1,0,1,0,1,0,1,1,0.0,-4.798958272553541,3
1,1,0,0,1,0,1,0,1,0,1,0,0,1,0.0,-4.798958272553541,4
0,1,1,0,0,1,0,1,1,1,0,1,0,1,0.0,-4.796784108960422,7
0,1,1,0,0,1,0,1,1,1,0,1,1,1,0.0,-4.796784108960422,9
0,0,0,1,1,0,1,1,0,0,1,1,1,0,0.0,-4.795770111797571,2
0,0,0,1,1,0,1,1,0,0,1,1,0,0,0.0,-4.795770111797571,6
0,1,0,0,1,0,1,1,1,0,1,1,0,1,0.0,-4.793142901619067,6
0,1,0,0,1,0,1,1,1,0,1,1,1,1,0.0,-4.793142901619067,9
0,1,1,0,0,1,0,1,1,1,0,0,0,0,0.0,-4.774637856277858,6
0,1,1,0,0,1,0,1,1,1,0,0,1,0,0.0,-4.774637856277858,5
1,1,1,0,0,1,0,0,1,1,0,1,0,0,0.0,-4.774238225698924,2
1,1,1,0,0,1,0,0,1,1,0,1,1,0,0.0,-4.774238225698924,4
0,0,1,1,0,1,0,1,0,1,0,0,0,1,0.0,-4.772454066062096,2
0,0,1,1,0,1,0,1,0,1,0,0,1,1,0.0,-4.772454066062096,1
1,0,1,1,0,1,0,0,0,1,0,1,0,1,0.0,-4.772054435483162,3
1,0,1,1,0,1,0,0,0,1,0,1,1,1,0.0,-4.772054435483162,4
0,1,0,0,1,0,1,1,1,0,1,0,1,0,0.0,-4.770996648936503,6
1,1,0,0,1,0,1,0,1,0,1,1,1,0,0.0,-4.770597018357569,1
1,1,0,0,1,0,1,0,1,0,1,1,0,0,0.0,-4.770597018357569,7
0,0,0,1,1,0,1,1,0,0,1,0,0,1,0.0,-4.768812858720741,1
0,0,0,1,1,0,1,1,0,0,1,0,1,1,0.0,-4.768812858720741,3
1,0,0,1,1,0,1,0,0,0,1,1,1,1,0.0,-4.7684132281418075,2
1,0,0,1,1,0,1,0,0,0,1,1,0,1,0.0,-4.7684132281418075,2
1,1,0,0,0,1,0,0,1,1,1,0,0,0,0.0,-4.761740319381006,8
1,1,0,0,0,1,0,0,1,1,1,0,1,0,0.0,-4.761740319381006,9
1,0,0,1,0,1,0,0,0,1,1,0,0,1,0.0,-4.759556529165244,3
1,0,0,1,0,1,0,0,0,1,1,0,1,1,0.0,-4.759556529165244,1
1,1,1,0,1,0,1,0,1,0,0,0,0,0,0.0,-4.757582398448948,2
0,1,0,0,0,1,0,1,1,1,1,1,1,0,0.0,-4.755924948446532,12
0,1,0,0,0,1,0,1,1,1,1,1,0,0,0.0,-4.755924948446532,11
0,0,0,1,0,1,0,1,0,1,1,1,1,1,0.0,-4.75374115823077,6
0,0,0,1,0,1,0,1,0,1,1,1,0,1,0.0,-4.75374115823077,5
0,1,1,0,1,0,1,1,1,0,0,1,1,0,0.0,-4.751767027514475,3
0,1,1,0,1,0,1,1,1,0,0,1,0,0,0.0,-4.751767027514475,1
1,0,1,1,0,1,0,0,0,1,1,0,1,0,0.0,-4.735649569267045,1
1,0,1,1,0,1,0,0,0,1,1,0,0,0,0.0,-4.735649569267045,2
1,1,0,0,1,0,1,0,1,1,0,0,0,0,0.0,-4.734336951006297,1
1,1,0,0,1,0,1,0,1,1,0,0,1,0,0.0,-4.734336951006297,4
1,1,1,0,0,1,0,0,1,0,1,0,1,0,0.0,-4.733466885425804,4
1,1,1,0,0,1,0,0,1,0,1,0,0,0,0.0,-4.733466885425804,6
1,1,1,0,0,1,0,0,1,1,1,0,1,1,0.0,-4.733022359088541,1
1,1,1,0,0,1,0,0,1,1,1,0,0,1,0.0,-4.733022359088541,2
1,0,0,1,1,0,1,0,0,1,0,0,1,1,0.0,-4.732153160790534,2
1,0,1,1,0,1,0,0,0,0,1,0,0,1,0.0,-4.731283095210042,2
1,0,1,1,0,1,0,0,0,0,1,0,1,1,0.0,-4.731283095210042,3
0,0,1,1,0,1,0,1,0,1,1,1,0,0,0.0,-4.729834198332571,1
0,0,1,1,0,1,0,1,0,1,1,1,1,0,0.0,-4.729834198332571,2
1,1,0,0,1,0,1,0,1,0,0,0,1,1,0.0,-4.729521371911545,1
1,1,0,0,1,0,1,0,1,0,0,0,0,1,0.0,-4.729521371911545,1
0,1,0,0,1,0,1,1,1,1,0,1,0,0,0.0,-4.728521580071823,5
0,1,0,0,1,0,1,1,1,1,0,1,1,0,0.0,-4.728521580071823,4
0,1,1,0,0,1,0,1,1,0,1,1,1,0,0.0,-4.72765151449133,5
0,1,1,0,0,1,0,1,1,0,1,1,0,0,0.0,-4.72765151449133,11
0,1,1,0,0,1,0,1,1,1,1,1,1,1,0.0,-4.727206988154067,6
0,1,1,0,0,1,0,1,1,1,1,1,0,1,0.0,-4.727206988154067,9
0,0,0,1,1,0,1,1,0,1,0,1,1,1,0.0,-4.726337789856061,2
0,0,0,1,1,0,1,1,0,1,0,1,0,1,0.0,-4.726337789856061,7
0,0,0,1,1,0,1,1,0,0,0,1,0,0,0.0,-4.726333211155575,1
0,0,0,1,1,0,1,1,0,0,0,1,1,0,0.0,-4.726333211155575,1
0,0,1,1,0,1,0,1,0,0,1,1,0,1,0.0,-4.725467724275568,2
0,0,1,1,0,1,0,1,0,0,1,1,1,1,0.0,-4.725467724275568,2
0,1,0,0,1,0,1,1,1,0,0,1,0,1,0.0,-4.723706000977071,1
0,1,0,0,1,0,1,1,1,0,0,1,1,1,0.0,-4.723706000977071,1
0,1,1,0,0,1,0,1,1,1,1,0,1,0,0.0,-4.705060735471503,3
0,1,1,0,0,1,0,1,1,1,1,0,0,0,0.0,-4.705060735471503,2
1,1,1,0,0,1,0,0,1,1,1,1,1,0,0.0,-4.704661104892569,2
1,1,1,0,0,1,0,0,1,1,1,1,0,0,0.0,-4.704661104892569,3
0,0,1,1,0,1,0,1,0,1,1,0,1,1,0.0,-4.702876945255741,1
1,0,1,1,0,1,0,0,0,1,1,1,0,1,0.0,-4.702477314676807,3
0,1,0,0,1,0,1,1,1,0,0,0,1,0,0.0,-4.701559748294507,2
0,1,0,0,1,0,1,1,1,0,0,0,0,0,0.0,-4.701559748294507,2
1,1,0,0,1,0,1,0,1,0,0,1,0,0,0.0,-4.701160117715573,2
0,0,0,1,1,0,1,1,0,0,0,0,0,1,0.0,-4.699375958078745,2
1,0,0,1,1,0,1,0,0,0,0,1,1,1,0.0,-4.698976327499811,1
1,1,1,0,0,1,0,1,1,1,0,0,0,0,0.0,-4.677479874034154,1
1,0,1,1,0,1,0,0,0,1,0,1,1,0,0.0,-4.674827059494467,1
0,1,1,0,0,1,0,0,1,1,0,1,1,0,0.0,-4.674637856277858,2
0,1,1,0,0,1,0,0,1,1,0,1,0,0,0.0,-4.674637856277858,1
1,1,0,0,1,0,1,1,1,0,1,0,0,0,0.0,-4.673838666692799,1
0,1,1,0,0,1,0,1,1,1,0,0,1,1,0.0,-4.672599479894896,2
0,1,1,0,0,1,0,1,1,1,0,0,0,1,0.0,-4.672599479894896,1
0,0,1,1,0,1,0,0,0,1,0,1,0,1,0.0,-4.6724540660620955,1
0,0,1,1,0,1,0,0,0,1,0,1,1,1,0.0,-4.6724540660620955,2
1,1,1,0,0,1,0,0,1,1,0,1,0,1,0.0,-4.672199849315962,2
1,1,1,0,0,1,0,0,1,1,0,1,1,1,0.0,-4.672199849315962,3
0,1,0,0,1,0,1,0,1,0,1,1,1,0,0.0,-4.670996648936503,2
0,1,0,0,1,0,1,0,1,0,1,1,0,0,0.0,-4.670996648936503,2
1,1,0,0,1,0,1,0,1,0,1,1,0,1,0.0,-4.668558641974608,1
1,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,-4.65817123224449,1
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.0,-4.656513782242074,2
