0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
0,0,1,1,1,0,0.0,-147.85000000000002,522
1,1,0,0,0,1,0.0,-147.85,326
1,0,1,1,0,0,0.0,-146.67000000000002,349
0,1,0,0,1,1,0.0,-146.67000000000002,355
0,0,1,0,1,0,0.0,-135.89000000000001,109
1,1,0,1,0,1,0.0,-135.89,117
1,0,1,0,0,0,0.0,-134.71,71
0,1,0,1,1,1,0.0,-134.71,115
1,0,1,1,1,0,0.0,-100.00000000000001,7
0,1,0,0,0,1,0.0,-100.0,5
0,0,1,1,0,0,0.0,-98.82000000000001,6
1,1,0,0,1,1,0.0,-98.82000000000001,3
1,0,1,0,1,0,0.0,-88.04,3
0,1,0,1,0,1,0.0,-88.03999999999999,6
0,0,1,0,0,0,0.0,-86.86,1
1,1,0,1,1,1,0.0,-86.86000000000001,3
0,1,1,1,1,1,0.0,-47.850000000000016,1
0,1,1,0,1,1,0.0,-35.890000000000015,1
