0,1,2,3,4,5,6,7,8,9,10,11,chain_break_fraction,energy,num_occurrences
0,0,1,0,1,1,0,1,1,0,1,0,0.0,-189.16000000000003,653
1,1,0,1,0,0,1,0,0,1,0,1,0.0,-189.16,666
0,0,1,1,1,1,0,1,1,1,1,0,0.0,-171.31,193
1,1,0,0,0,0,1,0,0,0,0,1,0.0,-171.31,153
1,0,1,0,1,1,0,1,1,0,1,0,0.0,-166.25000000000006,45
0,1,0,1,0,0,1,0,0,1,0,1,0.0,-166.25,63
0,0,0,0,1,1,0,1,1,0,1,0,0.0,-162.35000000000002,43
1,1,1,1,0,0,1,0,0,1,0,1,0.0,-162.35,41
1,0,1,1,1,1,0,1,1,1,1,0,0.0,-148.40000000000003,14
0,1,0,0,0,0,1,0,0,0,0,1,0.0,-148.4,11
1,1,1,0,0,0,1,0,0,0,0,1,0.0,-144.5,5
0,0,0,1,1,1,0,1,1,1,1,0,0.0,-144.5,8
0,0,0,0,1,0,0,0,1,0,1,1,0.0,-142.52000000000004,24
1,1,1,1,0,1,1,1,0,1,0,0,0.0,-142.51999999999998,27
1,0,0,0,1,1,0,1,1,0,1,0,0.0,-139.44000000000003,3
0,1,1,1,0,0,1,0,0,1,0,1,0.0,-139.44,2
0,0,0,1,1,0,0,0,1,1,1,1,0.0,-124.67,5
1,1,1,0,0,1,1,1,0,0,0,0,0.0,-124.66999999999999,9
1,0,0,0,0,0,0,0,0,0,0,1,0.0,-122.91,5
0,1,1,1,1,1,1,1,1,1,1,0,0.0,-122.91000000000001,7
0,1,1,0,0,0,1,0,0,0,0,1,0.0,-121.59,1
1,0,0,0,1,0,0,0,1,0,1,1,0.0,-119.61000000000003,1
0,1,1,1,0,1,1,1,0,1,0,0,0.0,-119.61000000000001,1
0,0,1,0,1,0,0,0,1,0,1,1,0.0,-115.71000000000002,1
1,1,0,1,0,1,1,1,0,1,0,0,0.0,-115.70999999999998,4
1,0,0,0,1,0,0,0,0,0,0,1,0.0,-109.62,1
0,1,1,1,0,1,1,1,1,1,1,0,0.0,-109.61999999999999,4
0,1,1,0,0,1,1,1,0,0,0,0,0.0,-101.75999999999999,1
0,0,1,0,1,1,0,1,1,0,0,0,0.0,-97.27000000000001,1
1,1,0,1,0,0,1,0,0,1,1,1,0.0,-97.27,1
1,0,1,0,0,0,0,0,0,0,0,1,0.0,-96.1,1
0,1,1,0,0,1,1,1,1,0,1,0,0.0,-91.77000000000002,1
1,0,0,1,1,0,0,0,0,1,0,1,0.0,-91.76999999999998,1
0,0,1,1,1,1,1,1,1,1,1,0,0.0,-89.15999999999998,1
1,1,0,0,0,0,1,0,0,0,0,0,0.0,-71.31,1
0,0,0,1,1,0,0,0,0,1,0,1,0.0,-68.85999999999999,1
1,0,1,0,1,1,0,1,0,0,0,0,0.0,-62.97999999999999,1
