0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
1,1,1,1,0,1,1,1,0,0.0,-147.85000000000002,427
0,0,0,0,1,0,0,0,1,0.0,-147.85,400
1,1,0,1,0,0,1,0,0,0.0,-146.67000000000002,241
0,0,1,0,1,1,0,1,1,0.0,-146.67,522
1,1,0,1,0,1,1,1,0,0.0,-135.89000000000001,58
0,0,1,0,1,0,0,0,1,0.0,-135.89,144
1,1,1,1,0,0,1,0,0,0.0,-134.71,86
0,0,0,0,1,1,0,1,1,0.0,-134.70999999999998,95
0,1,1,1,0,1,1,1,0,0.0,-100.00000000000001,8
1,0,0,0,1,0,0,0,1,0.0,-100.0,4
0,1,0,1,0,0,1,0,0,0.0,-98.82000000000002,4
1,0,1,0,1,1,0,1,1,0.0,-98.82,2
0,1,0,1,0,1,1,1,0,0.0,-88.04000000000003,1
0,1,1,1,0,0,1,0,0,0.0,-86.86000000000001,1
1,0,0,0,1,1,0,1,1,0.0,-86.86,1
0,1,1,1,0,1,1,1,1,0.0,-72.47000000000004,1
0,1,0,1,0,0,1,0,1,0.0,-71.29000000000002,1
1,1,1,1,0,1,1,0,0,0.0,-70.48,1
0,1,0,1,0,1,1,1,1,0.0,-60.510000000000005,1
0,1,1,1,0,0,1,0,1,0.0,-59.33000000000001,1
1,1,0,0,0,0,1,0,0,0.0,-56.68000000000001,1
