0,1,2,3,4,chain_break_fraction,energy,num_occurrences
0,0,1,1,1,0.0,-147.85,685
1,1,0,0,0,0.0,-147.85,732
0,1,0,0,1,0.0,-135.89,354
1,0,1,1,0,0.0,-135.89,201
1,0,1,1,1,0.0,-100.0,8
0,1,0,0,0,0.0,-100.0,9
1,1,0,0,1,0.0,-88.04,4
0,0,1,1,0,0.0,-88.03999999999999,2
0,0,1,0,1,0.0,-47.85,1
1,1,0,1,0,0.0,-47.849999999999994,1
0,1,1,1,1,0.0,-47.849999999999966,3
