0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,1,0,1,0,0.0,-2.51,90
1,0,0,1,0,1,0,0,0,0.0,-2.51,203
1,1,0,0,0,1,0,0,1,0.0,-2.5094111662044583,119
0,1,1,0,0,1,0,1,1,0.0,-2.5094111662044583,74
0,0,1,1,1,0,1,1,0,0.0,-2.502148582090049,91
1,0,0,1,1,0,1,0,0,0.0,-2.502148582090049,174
1,1,0,0,1,0,1,0,1,0.0,-2.501559748294507,118
0,1,1,0,1,0,1,1,1,0.0,-2.501559748294507,68
0,0,1,1,1,0,0,1,0,0.0,-2.25,1
1,0,0,1,1,0,0,0,0,0.0,-2.25,7
0,1,1,0,1,0,0,1,1,0.0,-2.249411166204458,2
1,1,0,0,1,0,0,0,1,0.0,-2.249411166204458,4
0,0,1,1,0,1,1,1,0,0.0,-2.248657084878592,8
1,0,0,1,0,1,1,0,0,0.0,-2.248657084878592,8
0,1,1,0,0,1,1,1,1,0.0,-2.2480682510830503,4
1,1,0,0,0,1,1,0,1,0.0,-2.2480682510830503,2
1,0,0,1,1,1,0,0,0,0.0,-2.208682916658006,3
1,1,0,0,1,1,0,0,1,0.0,-2.2080940828624636,3
1,0,0,1,0,0,1,0,0,0.0,-2.2,3
0,0,1,1,0,0,1,1,0,0.0,-2.2,1
1,1,0,0,0,0,1,0,1,0.0,-2.199411166204458,1
0,1,1,0,0,0,1,1,1,0.0,-2.199411166204458,1
0,0,1,0,0,1,0,1,1,0.0,-2.19,1
1,0,0,0,0,1,0,0,1,0.0,-2.19,1
1,1,0,1,0,1,0,0,0,0.0,-2.183991800912077,1
1,0,0,0,1,0,1,0,1,0.0,-2.182148582090049,1
0,0,1,0,1,0,1,1,1,0.0,-2.182148582090049,1
0,1,1,1,1,0,1,1,0,0.0,-2.1761403830021258,1
1,1,0,1,1,0,1,0,0,0.0,-2.1761403830021258,1
0,0,0,1,0,1,0,1,0,0.0,-2.16,1
1,0,1,1,0,1,0,0,0,0.0,-2.1580302335438777,1
1,1,1,0,0,1,0,0,1,0.0,-2.1574413997483353,2
0,0,0,1,1,0,1,1,0,0.0,-2.152148582090049,1
1,0,1,1,1,0,1,0,0,0.0,-2.1501788156339265,1
0,1,1,0,0,1,0,1,0,0.0,-2.15,1
1,1,0,0,0,1,0,0,0,0.0,-2.15,1
