0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,chain_break_fraction,energy,num_occurrences
0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0.0,-543.8600000000001,7
1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0.0,-543.86,2
0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0.0,-543.4100000000001,2
1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0.0,-543.41,2
1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0.0,-543.36,1
0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0.0,-542.14,1
1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0.0,-542.14,4
0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0.0,-541.93,1
1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0.0,-541.9300000000001,1
1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0.0,-541.67,1
0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0.0,-541.67,1
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0.0,-540.71,3
1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0.0,-540.71,1
0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0.0,-539.8499999999999,1
1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0.0,-539.8499999999999,4
1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0.0,-539.2600000000001,2
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0.0,-539.26,4
1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-539.17,2
