0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,chain_break_fraction,energy,num_occurrences
1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0.0,-652.06,223
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0,-652.06,98
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-651.29,90
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0.0,-651.2900000000002,85
0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0.0,-650.5199999999998,304
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0,-650.52,93
0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0.0,-633.1499999999999,144
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0,-633.1500000000001,58
1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0.0,-627.21,19
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0,-627.21,60
0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0.0,-617.4199999999998,80
1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0,-617.4200000000001,33
0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0,-616.96,47
1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0.0,-616.96,65
1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0.0,-615.4100000000001,31
0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0.0,-615.4099999999996,177
1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0.0,-599.6800000000001,19
0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0.0,-599.6799999999996,77
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0,-582.6299999999999,5
1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0.0,-582.6300000000001,3
1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0,-581.25,2
0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0.0,-581.2499999999998,21
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-580.9100000000001,1
0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0.0,-580.9100000000001,5
1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0.0,-562.6700000000001,3
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,-562.67,6
1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0.0,-556.2800000000001,5
0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0.0,-556.2799999999997,8
1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0.0,-554.8400000000003,1
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.0,-554.8399999999999,2
1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0.0,-551.77,2
0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0.0,-551.7699999999998,3
1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0.0,-549.1300000000002,2
0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0.0,-549.1299999999999,6
0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0.0,-545.8,4
1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0.0,-545.8,2
1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.0,-545.5200000000001,7
0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0.0,-545.52,28
1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0.0,-544.02,4
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0,-544.02,2
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,-541.8100000000001,2
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0.0,-541.1999999999999,26
1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0.0,-541.2,9
1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0.0,-540.5500000000001,1
0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0.0,-540.5499999999997,4
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,-540.2700000000001,3
0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0,-540.2699999999998,1
1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0.0,-536.04,4
0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0.0,-536.0399999999997,3
1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0,-530.5,3
1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0.0,-527.96,3
0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0.0,-527.96,10
0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0.0,-526.2800000000001,5
1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0.0,-526.28,2
1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0.0,-523.43,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0,-519.96,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0.0,-519.96,1
