0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
1,1,0,1,1,0,1,1,1,0.0,-188.72000000000003,594
0,0,1,0,0,1,0,0,0,0.0,-188.72,834
1,1,0,1,0,0,1,1,1,0.0,-167.85000000000008,263
0,0,1,0,1,1,0,0,0,0.0,-167.85,222
0,0,1,1,1,1,0,0,0,0.0,-147.70999999999998,27
1,1,0,0,0,0,1,1,1,0.0,-147.71,35
1,1,1,1,1,0,1,1,1,0.0,-108.95999999999998,1
0,0,0,0,0,1,0,0,0,0.0,-108.96,1
1,0,1,0,0,1,0,0,1,0.0,-107.48,4
0,1,0,1,1,0,1,1,0,0.0,-107.48000000000008,6
1,0,1,0,1,1,0,0,1,0.0,-103.47000000000001,1
0,1,0,1,0,0,1,1,0,0.0,-103.47000000000008,5
0,1,0,0,0,0,1,1,0,0.0,-83.32999999999998,2
1,0,1,0,0,1,0,0,0,0.0,-50.94000000000001,1
1,0,0,0,1,1,0,0,0,0.0,-40.08999999999999,1
1,1,0,1,1,0,1,0,1,0.0,-21.90000000000005,1
0,0,1,0,0,1,0,1,0,0.0,-21.899999999999977,1
1,1,0,1,1,1,1,1,1,0.1111111111111111,27.239999999999924,1
