0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,chain_break_fraction,energy,num_occurrences
1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0.0,-917.3100000000006,295
0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0.0,-917.3100000000002,668
1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0.0,-903.1400000000001,131
0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0.0,-903.1400000000001,304
1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0.0,-866.4200000000001,44
0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0.0,-866.4200000000001,65
0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.0,-863.41,25
1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0.0,-863.4100000000001,38
1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0.0,-860.3400000000001,14
0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0.0,-860.3400000000001,29
1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0.0,-859.5000000000002,19
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,-859.5,110
0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0.0,-850.7499999999998,17
1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0.0,-850.7500000000003,17
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,-844.5699999999999,37
1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0.0,-844.5700000000002,15
1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0.0,-842.8100000000006,5
0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0.0,-842.8100000000002,14
1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0.0,-837.04,7
0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0.0,-837.04,8
1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0.0,-820.6100000000001,2
1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0.0,-818.1999999999998,5
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0,-818.2,22
1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0.0,-811.0200000000002,2
0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0.0,-811.0199999999998,10
1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0.0,-807.1000000000003,2
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0.0,-807.1000000000001,18
1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0.0,-801.7100000000005,1
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.0,-801.7100000000002,2
0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0.0,-790.46,4
1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0.0,-779.8000000000002,1
0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0.0,-779.51,5
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0.0,-776.22,6
0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0.0,-771.6199999999999,7
1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0.0,-761.2900000000002,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,-761.29,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,-760.24,1
0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0.0,-758.91,1
