0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
1,1,1,1,1,0,0.0,-20.460000000000008,703
0,0,0,0,0,1,0.0,-20.46,548
0,1,0,0,0,1,0.0,-12.400000000000034,234
1,0,1,1,1,0,0.0,-12.400000000000006,165
1,0,0,1,0,1,0.0,-1.6199999999999974,205
0,1,1,0,1,0,0.0,-1.6199999999999761,43
1,1,1,1,1,1,0.0,-2.842170943040401e-14,37
0,0,0,0,0,0,0.0,0.0,18
1,0,0,0,0,1,0.0,17.189999999999998,21
0,1,1,1,1,0,0.0,17.190000000000026,2
0,1,1,0,1,1,0.0,18.840000000000003,4
1,0,0,1,0,0,0.0,18.840000000000003,11
1,0,0,1,1,0,0.0,31.330000000000005,1
0,1,1,0,0,1,0.0,31.329999999999984,5
1,1,0,1,0,1,0.0,52.259999999999934,2
1,1,0,1,1,0,0.0,58.96999999999997,1
