0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,chain_break_fraction,energy,num_occurrences
1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0.0,-558.2,383
0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0.0,-558.1999999999999,675
1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0.0,-544.04,114
0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0.0,-544.0400000000001,423
1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0.0,-532.69,31
0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0.0,-532.6899999999999,67
0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,-517.0,25
1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0.0,-517.0,65
1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0.0,-513.72,5
0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0.0,-513.72,53
1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0.0,-496.9,1
0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0.0,-496.90000000000003,39
1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0.0,-484.0500000000002,2
0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0.0,-484.0499999999999,7
0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0.0,-482.7499999999999,8
1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0.0,-482.75000000000006,4
0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0.0,-465.90999999999997,5
1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0.0,-465.9099999999998,23
1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0.0,-458.8000000000001,3
0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0.0,-458.79999999999984,4
1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0.0,-454.84999999999985,11
0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.0,-454.85,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-447.13999999999953,1
0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0.0,-442.37999999999994,2
0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0.0,-441.4600000000001,2
0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0.0,-439.74999999999994,1
1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0.0,-435.9599999999999,1
1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0.0,-432.6100000000001,2
0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0.0,-432.60999999999996,1
0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0.0,-429.25,2
1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0.0,-427.2699999999997,1
1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0.0,-425.32,6
0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0.0,-422.25999999999993,1
1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0.0,-420.8999999999996,2
1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0.0,-419.84999999999997,1
0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0.0,-419.8500000000002,1
0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0.0,-413.1500000000002,1
0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0.0,-410.9300000000001,1
0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0.0,-410.0600000000001,1
1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0.0,-410.00999999999993,1
0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0.0,-409.93999999999994,2
1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0.0,-405.02,1
1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0.0,-403.26999999999987,1
1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0.0,-399.62,1
0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0.0,-399.62,1
0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0.0,-398.63999999999993,1
0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0.0,-396.89,1
1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0.0,-396.00999999999993,3
0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0.0,-395.78,1
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-391.27999999999975,1
1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0.0,-385.65999999999997,1
1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0.0,-384.8599999999999,1
0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0.0,-381.31000000000006,1
0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0.0,-358.59,1
1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0.0,-358.5900000000002,1
0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0.0,-353.13000000000005,1
1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0.0,-348.62999999999994,1
1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0.0,-335.08999999999975,1
0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0.0,-326.3,1
0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0.0,-269.73999999999995,1
