0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,chain_break_fraction,energy,num_occurrences
0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0.0,-6.301149901885503,1
1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-6.300399070767011,1
1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0.0,-6.299047508150411,3
0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0.0,-6.295526881048026,6
0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0.0,-6.293264488033642,6
0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0.0,-6.293132858908115,5
1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-6.292513656915149,5
1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0.0,-6.292382027789624,5
1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0.0,-6.29116209429855,7
0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0.0,-6.291149901885503,2
1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0.0,-6.291030465173024,5
1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0.0,-6.29039907076701,1
0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0.0,-6.289390934518842,1
1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0.0,-6.289047508150411,1
1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0.0,-6.2886401034003505,3
0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0.0,-6.287641467196165,7
0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0.0,-6.28750983807064,11
1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0.0,-6.28728854078375,2
0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0.0,-6.2855268810480265,3
0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0.0,-6.285247445056254,5
1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0.0,-6.28502354930929,4
0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-6.284915883167135,2
1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0.0,-6.284496613937763,8
0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0.0,-6.283767913681366,4
1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0.0,-6.283145051321163,4
0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0.0,-6.2831328589081155,5
1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0.0,-6.282382027789622,7
0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0.0,-6.281373891541455,6
1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0.0,-6.281030465173024,3
1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0.0,-6.280623060422964,6
0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0.0,-6.279624424218778,11
1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0.0,-6.279271497806364,3
0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0.0,-6.27750983807064,6
1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0.0,-6.277138135457429,1
0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-6.277030469315274,3
1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0.0,-6.277006506331904,4
0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0.0,-6.276898840189747,5
0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0.0,-6.2757508707039795,6
1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0.0,-6.2750235493092905,7
1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0.0,-6.27326458194263,2
0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0.0,-6.273156915800474,1
1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0.0,-6.2691210924800425,6
0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0.0,-6.269013426337886,6
1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0.0,-6.267006506331904,3
0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0.0,-6.266898840189747,4
1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0.0,-6.265247538965244,8
0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0.0,-6.265139872823087,3
0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0.0,-6.264620391276825,4
1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0.0,-6.263869560158333,1
1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0.0,-6.2625179975417335,4
0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0.0,-6.2589973704393485,3
0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0.0,-6.256734977424964,3
1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0.0,-6.255984146306472,1
1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0.0,-6.254632583689872,4
0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0.0,-6.254620391276825,4
1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0.0,-6.253869560158332,1
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0.0,-6.252861423910164,2
1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0.0,-6.252517997541733,2
1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0.0,-6.252110592791673,3
0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.0,-6.251149901885503,3
0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0.0,-6.251111956587487,4
1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0.0,-6.250759030175073,2
1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0.0,-6.250399070767012,2
1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0.0,-6.2490475081504115,2
0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0.0,-6.248997370439349,3
1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0.0,-6.2484940387006125,3
0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0.0,-6.248443072195755,3
0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0.0,-6.248386372558457,1
0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0.0,-6.247238403072688,4
0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.0,-6.245526881048027,4
1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0.0,-6.2425136569151505,1
1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0.0,-6.24116209429855,2
0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0.0,-6.241149901885503,2
1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0.0,-6.240608624848751,1
0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0.0,-6.240557658343894,2
0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0.0,-6.240426029218368,5
1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0.0,-6.24039907076701,2
1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0.0,-6.240106199874033,1
0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0.0,-6.239390934518843,1
1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0.0,-6.239047508150412,1
1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0.0,-6.238640103400352,1
0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0.0,-6.238443072195755,2
0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0.0,-6.237641467196166,2
1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0.0,-6.2372885407837515,4
1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0.0,-6.237051721592299,2
1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0.0,-6.236735071333952,2
0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,-6.236684104829095,5
0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0.0,-6.236627405191796,1
0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0.0,-6.236096966258593,2
0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.0,-6.2355268810480275,4
1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0.0,-6.235023549309291,3
0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0.0,-6.234915883167135,1
0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0.0,-6.233767913681367,5
1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0.0,-6.233309797203026,2
0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0.0,-6.232540615366507,9
1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0.0,-6.232220786022172,3
1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0.0,-6.232089156896646,3
1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0.0,-6.230106199874032,4
1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0.0,-6.229166307740438,2
0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0.0,-6.228667061851708,5
1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0.0,-6.228347232507373,2
0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0.0,-6.228211552406732,4
0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.0,-6.228079923281206,3
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0.0,-6.22713813545743,2
1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0.0,-6.227051721592299,2
1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0.0,-6.225292754225639,3
1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0.0,-6.225023549309292,3
0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0.0,-6.224915883167135,1
0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0.0,-6.224337998891933,2
1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0.0,-6.224203743044785,7
1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0.0,-6.223264581942631,2
1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0.0,-6.2220891568966445,4
0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0.0,-6.220194509429345,10
1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-6.219231888152959,4
0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0.0,-6.2180799232812065,5
1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0.0,-6.21788032553636,1
0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0.0,-6.216320955914546,3
0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0.0,-6.21513512360402,2
0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0.0,-6.21274110146411,3
0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0.0,-6.211913561587077,4
1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-6.211346474301098,1
1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0.0,-6.211214845175571,3
0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0.0,-6.210758144441497,2
1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0.0,-6.209994911684499,1
1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0.0,-6.209863282558973,5
1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0.0,-6.209231888152959,1
1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0.0,-6.207472920786298,2
0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0.0,-6.207277934256158,2
0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0.0,-6.207249709752159,2
0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0.0,-6.207118080626633,6
0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0.0,-6.204855687612249,2
0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-6.204524125723129,1
