0,1,2,3,4,5,6,7,8,9,10,chain_break_fraction,energy,num_occurrences
1,0,0,0,0,1,1,1,1,0,0,0.0,-585.3599999999999,580
0,1,1,1,1,0,0,0,0,1,1,0.0,-585.3600000000001,304
1,0,0,0,0,1,0,1,0,0,0,0.0,-573.6600000000001,386
0,1,1,1,1,0,1,0,1,1,1,0.0,-573.6600000000001,345
0,0,0,0,1,1,0,1,0,0,0,0.0,-533.01,58
1,1,1,1,0,0,1,0,1,1,1,0.0,-533.01,63
1,0,0,0,1,1,0,1,0,0,0,0.0,-527.8100000000001,25
0,1,1,1,0,0,1,0,1,1,1,0.0,-527.8100000000001,67
0,0,0,0,0,1,0,1,0,0,0,0.0,-519.0799999999999,28
1,1,1,1,1,0,1,0,1,1,1,0.0,-519.0799999999999,14
1,0,0,0,0,1,1,1,0,0,0,0.0,-496.5999999999999,10
0,1,1,1,1,0,0,0,1,1,1,0.0,-496.59999999999997,6
1,1,0,0,1,1,1,0,1,1,0,0.0,-480.14000000000004,20
0,0,1,1,0,0,0,1,0,0,1,0.0,-480.1399999999999,16
1,0,1,0,0,1,1,1,1,0,0,0.0,-478.55999999999995,10
0,1,0,1,1,0,0,0,0,1,1,0.0,-478.56,4
1,0,0,0,0,1,1,1,1,0,1,0.0,-476.03999999999985,1
0,1,1,1,1,0,0,0,0,1,0,0.0,-476.04,2
1,0,0,0,0,1,0,1,1,0,0,0.0,-470.18000000000006,11
0,1,1,1,1,0,1,0,0,1,1,0.0,-470.17999999999995,3
1,0,1,1,0,0,1,0,1,1,1,0.0,-457.2799999999999,4
0,1,0,0,1,1,0,1,0,0,0,0.0,-457.28,3
1,1,0,0,0,1,1,0,1,1,0,0.0,-456.92999999999995,12
0,0,1,1,1,0,0,1,0,0,1,0.0,-456.92999999999995,3
1,1,0,0,1,1,0,1,0,0,0,0.0,-446.10000000000014,2
0,0,1,1,0,0,1,0,1,1,1,0.0,-446.09999999999997,4
1,0,1,0,0,1,1,1,1,1,1,0.0,-433.7799999999999,1
0,1,0,1,1,0,0,0,0,0,0,0.0,-433.78,2
0,1,0,1,1,0,0,0,0,0,1,0.0,-424.05999999999995,1
1,0,1,0,0,1,1,1,1,1,0,0.0,-424.0599999999999,1
1,0,0,0,0,1,1,1,1,1,0,0.0,-419.2599999999999,1
0,1,1,1,1,0,1,0,1,1,1,0.09090909090909091,-573.6600000000001,1
1,1,0,0,1,1,1,0,0,1,0,0.0,-397.00000000000006,1
1,0,0,0,0,1,1,0,1,1,0,0.0,-394.64,1
0,1,0,0,1,0,0,1,0,0,0,0.0,-385.44,1
0,1,1,1,1,0,0,1,0,1,1,0.0,-381.0999999999999,1
0,1,0,1,1,0,0,1,0,0,1,0.0,-380.0999999999999,1
0,0,1,1,1,0,0,0,0,1,1,0.0,-372.38999999999993,1
1,1,0,0,0,1,1,1,1,0,0,0.0,-372.39000000000004,1
0,1,1,1,1,0,0,0,0,1,1,0.09090909090909091,-585.3600000000001,1
1,0,1,0,0,1,1,1,1,0,0,0.09090909090909091,-478.55999999999995,1
0,1,1,1,1,0,0,1,1,1,1,0.0,-275.81999999999994,1
0,1,1,1,1,0,1,0,1,1,1,0.09090909090909091,-573.6600000000001,1
1,0,0,0,1,1,1,1,1,1,1,0.0,-226.92999999999995,1
