0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,chain_break_fraction,energy,num_occurrences
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.0,-1320.43,237
1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0.0,-1320.4299999999994,774
0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0.0,-1261.29,63
1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0.0,-1261.29,408
0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.0,-1255.82,66
1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0.0,-1255.8200000000002,111
0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0.0,-1231.75,17
1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0.0,-1231.75,23
0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0.0,-1230.86,22
1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0.0,-1230.8599999999997,95
0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.0,-1189.2500000000002,10
1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0.0,-1189.25,16
1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0.0,-1170.47,4
0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0.0,-1170.47,17
0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0.0,-1161.83,1
1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0.0,-1161.83,15
0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0.0,-1154.8100000000002,3
1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0.0,-1154.81,8
1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0.0,-1145.5099999999998,9
0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0.0,-1144.5700000000002,6
1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0.0,-1144.57,19
0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0.0,-1137.26,2
1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0.0,-1137.2599999999998,6
1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0.0,-1136.3899999999999,1
0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0.0,-1136.3899999999999,8
1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0.0,-1133.33,1
0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0.0,-1133.3299999999997,10
1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0.0,-1123.3799999999997,10
1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0.0,-1114.9199999999998,1
0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0.0,-1114.9199999999998,2
0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0.06666666666666667,-1114.9199999999998,1
1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0.0,-1095.87,3
0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0.0,-1095.87,8
1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0.0,-1082.2399999999998,1
0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0.0,-1072.8799999999999,1
1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0.0,-1072.8799999999999,2
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0.0,-1061.05,1
0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0.0,-1057.19,2
0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0.0,-1048.05,2
0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0.0,-1036.6799999999998,1
0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.06666666666666667,-1089.87,1
0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0.0,-1021.6300000000001,1
1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0.0,-1010.28,1
1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0.0,-1008.8899999999999,1
0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0.0,-999.67,1
1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0.0,-995.7700000000002,1
0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0.0,-995.77,1
1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0.0,-991.2299999999999,1
1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0.0,-981.1299999999999,1
1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0.0,-979.7699999999996,1
0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0.0,-911.56,1
1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0.06666666666666667,-1230.8599999999997,1
0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0.06666666666666667,-1170.47,1
