0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,chain_break_fraction,energy,num_occurrences
1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0.0,-1805.74,182
0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0.0,-1805.7399999999996,456
0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0.0,-1798.3500000000001,307
1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0.0,-1798.3500000000001,299
1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0.0,-1792.2099999999998,190
0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0.0,-1792.2099999999998,183
0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0.0,-1740.78,25
1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0.0,-1740.78,16
0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0.0,-1685.2199999999998,19
1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0.0,-1685.2199999999996,27
1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0.0,-1679.0400000000002,5
0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0.0,-1679.0399999999995,6
1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0.0,-1675.9099999999999,14
0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0.0,-1675.9099999999994,17
1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0.0,-1671.7300000000002,8
0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0.0,-1671.7299999999996,16
0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0.05555555555555555,-1792.2099999999998,1
1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0.05555555555555555,-1792.2099999999998,2
1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0.0,-1660.6499999999999,17
0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0.0,-1660.6499999999994,8
0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0.0,-1650.4699999999998,1
1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0.0,-1650.47,1
0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0,-1648.81,3
1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0.0,-1648.8100000000002,1
0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0.0,-1641.9799999999998,1
1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0.0,-1641.98,1
1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0.0,-1640.84,4
0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0.0,-1640.84,4
1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0.0,-1637.8200000000002,10
0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0.0,-1637.82,9
