0,1,2,3,4,5,6,7,8,9,chain_break_fraction,energy,num_occurrences
0,1,1,1,0,1,0,0,0,1,0.0,-499.06,478
1,0,0,0,1,0,1,1,1,0,0.0,-499.05999999999995,591
0,1,1,1,1,1,0,0,0,1,0.0,-495.72999999999996,320
1,0,0,0,0,0,1,1,1,0,0.0,-495.73,420
1,1,1,0,0,1,0,0,0,1,0.0,-442.84,59
0,0,0,1,1,0,1,1,1,0,0.0,-442.8399999999999,49
0,1,1,1,0,1,0,0,0,0,0.0,-420.25,10
1,0,0,0,1,0,1,1,1,1,0.0,-420.2499999999999,24
1,1,1,1,0,1,0,0,0,0,0.0,-411.4,5
0,0,0,0,1,0,1,1,1,1,0.0,-411.4,9
0,1,1,0,0,1,0,0,0,1,0.0,-409.33,7
1,0,0,1,1,0,1,1,1,0,0.0,-409.3299999999999,4
1,1,1,1,0,1,0,0,0,1,0.0,-396.1699999999999,3
0,0,0,0,1,0,1,1,1,0,0.0,-396.16999999999996,6
0,0,0,0,1,0,0,1,1,0,0.0,-374.9,1
1,1,1,1,0,1,1,0,0,1,0.0,-374.9000000000001,3
0,1,0,1,1,1,0,0,0,1,0.0,-369.40999999999997,1
1,0,1,0,0,0,1,1,1,0,0.0,-369.40999999999997,2
0,1,1,1,0,1,0,0,0,1,0.1,-499.06,1
0,0,0,1,1,0,1,1,1,0,0.1,-442.8399999999999,1
1,1,1,1,1,1,0,0,0,1,0.0,-333.05999999999995,1
1,0,0,0,0,0,0,1,1,0,0.0,-330.20000000000005,1
0,1,0,0,1,0,0,1,0,1,0.0,-324.31,1
1,0,1,1,0,1,1,0,1,0,0.0,-324.3100000000002,1
1,1,1,0,0,1,1,1,0,1,0.0,-299.53,1
1,0,1,1,0,1,0,0,0,0,0.0,-293.21000000000004,1
