0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
1,0,1,0,1,0,0.0,-0.02,8
1,0,1,0,0,0,0.0,-0.02,11
0,0,1,1,1,0,0.0,-0.02,15
0,1,0,1,1,0,0.0,-0.02,16
0,0,1,1,0,0,0.0,-0.02,21
1,1,0,0,0,0,0.0,-0.02,48
0,0,1,0,1,1,0.0,-0.02,8
0,1,0,0,1,0,0.0,-0.02,19
0,1,0,1,1,1,0.0,-0.02,44
1,0,1,1,0,0,0.0,-0.02,25
0,0,1,0,1,0,0.0,-0.02,11
1,0,1,0,0,1,0.0,-0.02,23
1,1,0,1,0,1,0.0,-0.02,83
0,0,1,0,0,1,0.0,-0.02,21
0,0,1,1,1,1,0.0,-0.02,16
0,1,0,0,1,1,0.0,-0.02,25
1,0,1,0,1,1,0.0,-0.02,12
1,1,0,0,1,1,0.0,-0.02,35
0,0,1,1,0,1,0.0,-0.02,32
0,0,1,0,0,0,0.0,-0.02,25
1,1,0,1,1,0,0.0,-0.02,26
1,0,1,1,0,1,0.0,-0.02,43
1,1,0,1,1,1,0.0,-0.02,30
1,1,0,0,1,0,0.0,-0.02,27
1,0,1,1,1,0,0.0,-0.02,16
0,1,0,0,0,0,0.0,-0.02,46
1,0,1,1,1,1,0.0,-0.02,20
1,1,0,1,0,0,0.0,-0.02,50
0,1,0,0,0,1,0.0,-0.02,58
0,1,0,1,0,0,0.0,-0.02,57
0,1,0,1,0,1,0.0,-0.02,66
1,1,0,0,0,1,0.0,-0.02,63
