0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
0,0,1,0,0,1,0.0,-0.1,15
0,0,0,1,1,0,0.0,-0.1,31
0,0,1,0,1,1,0.0,-0.1,11
1,0,0,1,1,1,0.0,-0.1,29
1,0,0,1,0,1,0.0,-0.1,14
1,1,1,0,1,0,0.0,-0.1,42
1,0,0,1,1,0,0.0,-0.1,24
1,0,1,0,0,0,0.0,-0.1,15
0,1,0,1,1,0,0.0,-0.1,65
1,0,1,0,1,1,0.0,-0.1,15
1,0,1,0,0,1,0.0,-0.1,15
1,0,1,0,1,0,0.0,-0.1,17
1,0,0,1,0,0,0.0,-0.1,37
1,1,1,0,0,1,0.0,-0.1,22
1,1,1,0,1,1,0.0,-0.1,43
1,1,0,1,0,1,0.0,-0.1,43
1,1,0,1,1,0,0.0,-0.1,57
0,0,0,1,0,0,0.0,-0.1,17
0,1,0,1,0,1,0.0,-0.1,20
1,1,1,0,0,0,0.0,-0.1,29
0,1,0,1,0,0,0.0,-0.1,44
0,1,0,1,1,1,0.0,-0.1,51
0,1,1,0,1,1,0.0,-0.1,40
0,1,1,0,0,0,0.0,-0.1,35
0,0,0,1,0,1,0.0,-0.1,20
0,0,1,0,0,0,0.0,-0.1,22
0,1,1,0,0,1,0.0,-0.1,32
1,1,0,1,0,0,0.0,-0.1,59
0,1,1,0,1,0,0.0,-0.1,47
0,0,0,1,1,1,0.0,-0.1,22
1,1,0,1,1,1,0.0,-0.1,40
0,0,1,0,1,0,0.0,-0.1,26
0,1,0,0,0,0,0.0,0.0,1
