0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
1,1,0,0,1,1,0.0,-0.19,52
0,1,0,0,1,1,0.0,-0.19,59
0,0,1,1,0,1,0.0,-0.19,83
0,1,0,0,1,0,0.0,-0.19,50
0,0,1,0,1,1,0.0,-0.19,71
1,1,0,1,0,1,0.0,-0.19,67
1,1,0,1,0,0,0.0,-0.19,73
1,0,1,1,0,1,0.0,-0.19,66
1,0,1,1,0,0,0.0,-0.19,46
0,0,1,0,1,0,0.0,-0.19,52
0,0,1,1,0,0,0.0,-0.19,74
0,1,0,1,0,1,0.0,-0.19,89
1,0,1,0,1,1,0.0,-0.19,49
0,1,0,1,0,0,0.0,-0.19,79
1,0,1,0,1,0,0.0,-0.19,39
1,1,0,0,1,0,0.0,-0.19,48
0,1,0,1,1,1,0.0,-0.12736705972552784,1
0,0,1,1,1,1,0.0,-0.12736705972552784,1
1,1,0,0,0,0,0.0,-0.12,1
