0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,0,0,1,0.0,-13.849999999999952,561
1,1,0,0,1,1,1,0,0.0,-13.849999999999994,923
1,1,1,1,1,1,1,1,0.0,2.842170943040401e-14,319
0,0,0,0,0,0,0,0,0.0,0.0,160
1,1,0,1,1,1,1,0,0.0,39.72,10
0,0,1,0,0,0,0,1,0.0,39.72,11
1,1,0,0,0,1,1,0,0.0,62.13999999999996,1
0,0,1,1,1,0,0,1,0.0,62.14000000000006,1
0,1,1,1,1,1,1,1,0.0,64.39000000000001,2
1,0,0,0,0,0,0,0,0.0,64.39,1
0,1,1,1,1,1,1,1,0.125,64.39000000000001,2
1,0,0,0,0,1,0,0,0.125,98.74000000000001,1
1,0,1,1,0,1,0,1,0.0,73.81000000000007,4
0,1,0,0,1,0,1,0,0.0,73.81000000000003,1
0,0,0,0,1,0,1,0,0.0,85.57,1
1,1,0,0,1,1,1,0,0.125,-13.849999999999994,1
1,1,1,0,0,1,0,0,0.0,163.59,1
