0,1,2,3,4,5,6,7,8,9,10,11,12,chain_break_fraction,energy,num_occurrences
0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,-297.77,614
1,1,1,0,1,1,1,1,1,1,1,0,0,0.0,-297.7700000000002,832
0,0,1,1,0,0,0,0,0,0,0,1,1,0.0,-264.85999999999996,116
1,1,0,0,1,1,1,1,1,1,1,0,0,0.0,-264.8600000000003,75
1,0,0,0,1,1,1,1,1,1,1,0,0,0.0,-259.83000000000004,59
0,1,1,1,0,0,0,0,0,0,0,1,1,0.0,-259.83000000000004,129
0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,-257.63,46
1,1,1,0,1,1,1,1,1,1,1,0,1,0.0,-257.6300000000002,25
0,0,0,1,0,0,1,1,0,0,0,1,1,0.0,-231.82999999999998,4
1,1,1,0,1,1,0,0,1,1,1,0,0,0.0,-231.8300000000002,23
1,0,0,0,1,1,1,1,1,1,0,0,0,0.0,-225.18000000000006,5
0,1,1,1,0,0,0,0,0,0,1,1,1,0.0,-225.18000000000006,15
0,0,1,1,0,0,0,0,0,0,0,1,0,0.0,-224.71999999999997,11
1,1,0,0,1,1,1,1,1,1,1,0,1,0.0,-224.72000000000028,3
0,1,1,1,0,0,0,0,0,0,1,0,1,0.0,-222.48000000000008,11
1,0,0,0,1,1,1,1,1,1,0,1,0,0.0,-222.47999999999996,1
1,0,0,0,1,0,1,1,1,1,0,1,0,0.0,-198.27999999999983,1
0,1,1,1,0,1,0,0,0,0,1,0,1,0.0,-198.28000000000003,5
1,1,1,0,1,1,1,0,1,1,1,0,0,0.0,-196.00000000000023,4
0,1,1,1,0,0,0,0,0,1,0,1,0,0.0,-188.80000000000004,4
1,0,0,0,1,1,1,1,1,0,1,0,1,0.0,-188.80000000000004,7
0,0,0,0,0,0,1,1,0,0,0,1,0,0.0,-180.24,1
0,1,1,1,0,1,0,0,0,0,0,1,1,0.0,-152.71000000000004,1
0,0,0,1,0,0,0,0,0,1,0,1,0,0.0,-151.6,1
1,1,1,0,1,1,1,1,1,0,1,0,1,0.0,-151.60000000000025,3
0,1,1,1,0,0,0,0,0,1,1,0,0,0.0,-151.45000000000005,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,-148.57999999999998,1
0,0,1,1,0,0,0,0,0,1,0,1,0,0.0,-118.68999999999998,1
0,0,0,0,0,1,0,0,1,0,1,0,0,0.0,-59.509999999999984,1
