0,1,2,3,4,5,6,7,8,9,chain_break_fraction,energy,num_occurrences
0,0,1,1,1,0,1,0,0,0,0.0,-0.6834675705115592,3
0,1,0,1,1,0,1,0,0,1,0.0,-0.6834675705115592,3
0,1,0,1,1,0,1,0,0,0,0.0,-0.6834675705115592,5
0,0,1,1,1,0,0,1,0,0,0.0,-0.6834675705115592,19
0,1,0,1,1,0,1,0,1,0,0.0,-0.6834675705115592,15
0,1,0,1,1,1,1,0,1,0,0.0,-0.6834675705115592,10
0,0,1,1,1,0,1,0,1,0,0.0,-0.6834675705115592,6
0,0,1,1,1,1,0,1,0,0,0.0,-0.6834675705115592,14
0,1,0,1,1,1,1,0,1,1,0.0,-0.6834675705115592,15
0,0,1,1,1,1,0,1,1,0,0.0,-0.6834675705115592,13
0,0,1,1,1,0,1,0,1,1,0.0,-0.6834675705115592,8
0,1,0,1,1,0,0,1,1,0,0.0,-0.6834675705115592,23
0,1,0,1,1,1,0,1,0,1,0.0,-0.6834675705115592,9
0,1,0,1,1,0,1,0,1,1,0.0,-0.6834675705115592,12
0,0,1,1,1,1,1,0,0,1,0.0,-0.6834675705115592,9
0,1,0,1,1,0,0,1,0,1,0.0,-0.6834675705115592,7
0,0,1,1,1,1,0,1,1,1,0.0,-0.6834675705115592,23
0,1,0,1,1,1,0,1,1,0,0.0,-0.6834675705115592,26
0,1,0,1,1,1,0,1,1,1,0.0,-0.6834675705115592,27
0,1,0,1,1,1,1,0,0,1,0.0,-0.6834675705115592,5
0,1,0,1,1,1,1,0,0,0,0.0,-0.6834675705115592,4
0,0,1,1,1,0,0,1,1,0,0.0,-0.6834675705115592,14
0,0,1,1,1,1,1,0,1,0,0.0,-0.6834675705115592,9
0,1,0,1,1,1,0,1,0,0,0.0,-0.6834675705115592,9
0,0,1,1,1,1,0,1,0,1,0.0,-0.6834675705115592,16
0,0,1,1,1,0,0,1,1,1,0.0,-0.6834675705115592,25
0,0,1,1,1,1,1,0,1,1,0.0,-0.6834675705115592,14
0,0,1,1,1,0,0,1,0,1,0.0,-0.6834675705115592,10
0,0,1,1,1,0,1,0,0,1,0.0,-0.6834675705115592,4
0,0,1,1,1,1,1,0,0,0,0.0,-0.6834675705115592,7
0,1,0,1,1,0,0,1,1,1,0.0,-0.6834675705115592,14
0,1,0,1,1,0,0,1,0,0,0.0,-0.6834675705115592,12
