0,1,2,3,4,5,6,7,8,9,10,chain_break_fraction,energy,num_occurrences
1,1,0,0,0,1,1,0,1,1,0,0.0,-0.9345406315512839,10
1,1,0,0,0,0,1,1,1,0,0,0.0,-0.9345406315512839,6
1,1,0,1,0,0,1,1,1,0,0,0.0,-0.9345406315512839,15
1,1,0,0,0,1,1,1,1,0,0,0.0,-0.9345406315512839,12
1,1,0,0,1,1,1,0,1,1,0,0.0,-0.9345406315512839,18
1,1,0,0,1,0,1,1,1,0,0,0.0,-0.9345406315512839,9
1,1,0,1,1,1,1,1,1,0,0,0.0,-0.9345406315512839,21
1,1,0,0,0,0,1,0,1,1,0,0.0,-0.9345406315512839,6
1,1,0,1,0,0,1,0,1,1,0,0.0,-0.9345406315512839,13
1,1,0,1,1,1,1,0,1,1,0,0.0,-0.9345406315512839,13
1,1,0,1,0,1,1,1,1,0,0,0.0,-0.9345406315512839,21
1,1,0,1,0,1,1,0,1,1,0,0.0,-0.9345406315512839,14
1,1,0,1,1,0,1,0,1,1,0,0.0,-0.9345406315512839,13
1,1,0,0,1,0,1,0,1,1,0,0.0,-0.9345406315512839,9
1,1,0,0,1,1,1,1,1,0,0,0.0,-0.9345406315512839,23
1,1,0,1,1,0,1,1,1,0,0,0.0,-0.9345406315512839,16
1,0,1,0,0,1,1,1,0,0,0,0.0,-0.9294111662044582,7
1,0,1,1,0,1,1,0,0,1,0,0.0,-0.9294111662044582,19
1,0,1,1,1,1,1,0,0,1,0,0.0,-0.9294111662044582,20
1,0,1,1,1,0,1,1,0,0,0,0.0,-0.9294111662044582,16
1,0,1,1,0,0,1,0,0,1,0,0.0,-0.9294111662044582,15
1,0,1,1,0,1,1,1,0,0,0,0.0,-0.9294111662044582,19
1,0,1,1,0,0,1,1,0,0,0,0.0,-0.9294111662044582,18
1,0,1,0,0,1,1,0,0,1,0,0.0,-0.9294111662044582,16
1,0,1,1,1,0,1,0,0,1,0,0.0,-0.9294111662044582,8
1,0,1,0,1,1,1,0,0,1,0,0.0,-0.9294111662044582,18
1,0,1,0,0,0,1,0,0,1,0,0.0,-0.9294111662044582,6
1,0,1,1,1,1,1,1,0,0,0,0.0,-0.9294111662044582,22
