0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-4.580061658506275,2
0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-4.578894475892224,13
1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0.0,-4.57502354930929,7
0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0.0,-4.57385636669524,14
1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-4.572115756786219,10
1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0.0,-4.571965036395236,4
0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-4.570948574172167,12
0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0.0,-4.570797853781184,5
1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0.0,-4.570061658506275,3
0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0.0,-4.5688944758922245,10
1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0.0,-4.5684269218730345,10
0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0.0,-4.567259739258982,12
1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0.0,-4.567077647589234,6
1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0.0,-4.566926927198251,4
0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0.0,-4.5659104649751825,8
0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0.0,-4.5657597445841995,4
1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0.0,-4.5650235493092906,9
1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0.0,-4.564019134675179,6
0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0.0,-4.56385636669524,7
1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0.0,-4.56338881267605,8
0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0.0,-4.562851952061127,8
0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0.0,-4.562221630061997,16
1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0.0,-4.561965036395236,3
0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0.0,-4.560797853781184,7
1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0.0,-4.560330299761994,4
0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0.0,-4.559163117147943,5
1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0.0,-4.558981025478194,4
0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0.0,-4.557813842864142,9
1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0.0,-4.556926927198251,5
0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0.0,-4.5557597445842,5
1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0.0,-4.55529219056501,5
0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0.0,-4.554125007950958,7
1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0.0,-4.543689007203726,3
0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0.0,-4.5425218245896755,8
1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0.0,-4.5386508980067415,3
0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0.0,-4.537483715392691,7
1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0.0,-4.53574310548367,1
0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0.0,-4.534575922869618,6
1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0.0,-4.533689007203726,11
0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0.0,-4.532521824589676,5
1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0.0,-4.532054270570486,3
0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0.0,-4.530887087956433,9
1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0.0,-4.530704996286685,7
1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0.0,-4.530061658506276,2
0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0.0,-4.529537813672634,7
0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0.0,-4.5288944758922245,3
1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0.0,-4.528650898006742,6
0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0.0,-4.527483715392691,3
1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0.0,-4.527016161373501,6
0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0.0,-4.5258489787594485,9
1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0.0,-4.525023549309291,1
0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.0,-4.52385636669524,3
1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0.0,-4.522115756786219,2
0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0.0,-4.520948574172167,6
1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0.0,-4.520061658506276,1
0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0.0,-4.518894475892225,4
1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0.0,-4.518426921873035,2
0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0.0,-4.517259739258983,3
1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0.0,-4.517077647589234,6
0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0.0,-4.515910464975183,5
1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0.0,-4.515023549309292,4
0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0.0,-4.51385636669524,4
1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0.0,-4.51338881267605,2
0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-4.495831977147866,2
0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0.0,-4.490793867950882,4
1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-4.4888944758922245,6
0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-4.4878860754278085,5
0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0.0,-4.4877353550368255,1
0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0.0,-4.485831977147866,1
0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0.0,-4.482847966230825,3
1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-4.480948574172167,2
0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0.0,-4.480793867950882,5
0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0.0,-4.479789453316768,4
0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0.0,-4.4791591313176395,4
1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0.0,-4.478894475892225,3
0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0.0,-4.477735355036826,2
1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0.0,-4.477259739258982,1
0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0.0,-4.476100618403584,3
1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0.0,-4.475910464975183,2
1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0.0,-4.4757597445842,1
0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0.0,-4.474751344119785,4
1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0.0,-4.47385636669524,2
1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0.0,-4.472851952061127,2
0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0.0,-4.472697245839842,5
1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0.0,-4.4722216300619975,1
0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0.0,-4.4710625092066,2
1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0.0,-4.4678138428641425,3
1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0.0,-4.4657597445842,1
1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0.0,-4.464125007950958,4
0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0.0,-4.459459325845317,2
0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0.0,-4.454421216648333,2
1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0.0,-4.452521824589676,6
0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0.0,-4.45151342412526,6
0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0.0,-4.449459325845317,5
0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0.0,-4.447824589212075,1
1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0.0,-4.447483715392691,2
0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0.0,-4.446475314928276,4
1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0.0,-4.4445759228696184,3
0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0.0,-4.444421216648333,4
0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0.0,-4.442786480015091,3
1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0.0,-4.442521824589676,1
1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0.0,-4.440887087956433,2
1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0.0,-4.439537813672634,1
0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0,-4.438894475892225,1
1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0.0,-4.437483715392691,4
1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0.0,-4.435848978759449,1
1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0.0,-4.4351681480695335,2
1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0.0,-4.435023549309291,1
1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.0,-4.43385636669524,3
0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0.0,-4.43385636669524,1
0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0.0,-4.432847966230825,1
1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0.0,-4.4309485741721675,2
0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0.0,-4.4309485741721675,4
1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0.0,-4.430130038872549,1
0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0.0,-4.429159131317641,1
0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0.0,-4.428894475892225,1
1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0.0,-4.428894475892225,2
1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0.0,-4.428426921873035,1
0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0.0,-4.427259739258982,1
1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0.0,-4.427259739258983,1
1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0.0,-4.427222246349476,3
1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0.0,-4.427077647589234,2
0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0.0,-4.426055063735425,4
1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0.0,-4.425910464975183,1
1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0.0,-4.425168148069534,1
1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0.0,-4.425023549309291,1
0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0.0,-4.424000965455482,1
0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0.0,-4.42385636669524,2
1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0.0,-4.42385636669524,1
1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0.0,-4.423533411436292,2
1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0.0,-4.42338881267605,1
0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0.0,-4.4223662288222405,1
0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0.0,-4.422221630061998,1
1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0.0,-4.422184137152492,3
0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0.0,-4.42101695453844,2
1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0.0,-4.420130038872549,1
0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0.0,-4.4189628562584975,2
1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0.0,-4.418495302239307,1
0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0.0,-4.417328119625256,1
1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0.0,-4.4036890072037265,2
1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0.0,-4.398650898006742,3
0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0.0,-4.394575922869619,1
1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0.0,-4.393264770180574,2
0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0.0,-4.392521824589676,1
0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0.0,-4.392097587566522,1
1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0.0,-4.392054270570486,1
1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0.0,-4.3907049962866855,2
1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0.0,-4.388678939222728,1
0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0.0,-4.387511756608677,1
0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0.0,-4.387059478369538,2
1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0.0,-4.387016161373501,1
0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0.0,-4.385848978759449,2
1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0.0,-4.385318868460517,1
0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0.0,-4.384151685846465,2
0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0.0,-4.383856366695239,1
1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0.0,-4.383264770180574,1
0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0.0,-4.382473647411692,1
1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0.0,-4.382115756786219,1
0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0.0,-4.3820975875665225,1
0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0.0,-4.380948574172168,1
0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0.0,-4.380462850933281,2
1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0.0,-4.380280759263532,1
1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0.0,-4.380061658506276,2
0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0.0,-4.37911357664948,2
0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0.0,-4.378894475892225,2
1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0.0,-4.378426921873034,1
0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0.0,-4.377511756608677,1
0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0.0,-4.3772597392589825,1
1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0.0,-4.377077647589235,1
1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0.0,-4.377044202589487,1
0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0.0,-4.375910464975183,3
0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0.0,-4.375877019975435,3
1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0.0,-4.375694928305687,2
0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0.0,-4.375424741736296,1
1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0.0,-4.375023549309291,4
0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0.0,-4.374527745691634,4
0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0.0,-4.3738563666952395,1
1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0.0,-4.373640830025743,2
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0.0,-4.372221630061998,3
0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0.0,-4.37083891077845,3
1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-4.361313536901206,2
0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-4.360146354287154,1
1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0.0,-4.35463475312561,1
0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0.0,-4.353467570511559,1
1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-4.353367635181149,1
0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-4.352200452567097,2
0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0.0,-4.3520497321761145,1
0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0.0,-4.350938466711123,2
0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0.0,-4.350146354287154,1
