0,1,2,3,4,5,6,7,8,9,chain_break_fraction,energy,num_occurrences
1,0,1,0,1,0,0,1,0,0,0.0,-175.20999999999998,347
0,1,0,1,0,1,1,0,1,1,0.0,-175.20999999999998,413
1,0,1,0,0,0,0,0,0,0,0.0,-168.69,342
0,1,0,1,1,1,1,1,1,1,0.0,-168.68999999999997,166
1,0,1,0,1,0,0,1,1,0,0.0,-164.45,105
0,1,0,1,0,1,1,0,0,1,0.0,-164.45,126
1,0,1,0,0,0,0,0,1,0,0.0,-157.92999999999998,108
0,1,0,1,1,1,1,1,0,1,0.0,-157.92999999999998,48
1,1,1,0,1,1,0,1,0,0,0.0,-148.27999999999997,52
0,0,0,1,0,0,1,0,1,1,0.0,-148.27999999999997,55
1,1,1,0,0,1,0,0,0,0,0.0,-141.76,33
0,0,0,1,1,0,1,1,1,1,0.0,-141.75999999999996,23
1,1,1,0,1,1,0,1,1,0,0.0,-137.51999999999998,14
0,0,0,1,0,0,1,0,0,1,0.0,-137.51999999999998,25
1,0,0,0,1,0,0,1,1,1,0.0,-133.11,23
0,1,1,1,0,1,1,0,0,0,0.0,-133.10999999999999,17
1,1,1,0,0,1,0,0,1,0,0.0,-130.99999999999997,13
0,0,0,1,1,0,1,1,0,1,0.0,-130.99999999999997,5
0,1,1,1,1,1,1,1,0,0,0.0,-126.58999999999997,3
1,0,0,0,0,0,0,0,1,1,0.0,-126.59,25
1,0,0,0,1,0,0,1,0,1,0.0,-122.35,11
0,1,1,1,0,1,1,0,1,0,0.0,-122.35,6
0,0,1,0,1,0,0,1,0,0,0.0,-117.28,1
1,1,0,1,0,1,1,0,1,1,0.0,-117.27999999999997,3
1,0,0,0,0,0,0,0,0,1,0.0,-115.83,3
0,1,1,1,1,1,1,1,1,0,0.0,-115.82999999999998,4
0,0,0,1,0,1,1,0,1,1,0.0,-114.46999999999997,1
1,1,0,1,1,1,1,1,1,1,0.0,-110.75999999999996,3
0,1,1,1,1,1,0,1,0,0,0.0,-109.14,1
1,0,0,0,0,0,1,0,1,1,0.0,-109.14,2
1,1,1,0,0,0,0,0,0,0,0.0,-107.95,3
1,1,0,0,1,1,0,1,1,1,0.0,-106.17999999999999,1
0,0,1,1,0,0,1,0,0,0,0.0,-106.17999999999998,1
0,0,0,1,0,1,1,0,0,1,0.0,-103.70999999999997,1
1,0,0,0,1,0,1,1,1,1,0.0,-102.62,3
1,1,0,1,1,1,1,1,0,1,0.0,-99.99999999999997,1
1,1,0,0,0,1,0,0,1,1,0.0,-99.66,2
0,0,1,1,0,0,1,0,1,0,0.0,-95.41999999999999,1
0,1,1,0,1,1,0,1,0,0,0.0,-90.35000000000001,1
1,0,1,0,1,1,0,1,0,0,0.0,-87.54,1
0,1,1,0,0,1,0,0,0,0,0.0,-83.83000000000001,1
1,0,1,0,0,1,0,0,0,0,0.0,-81.02000000000001,1
0,1,0,1,0,0,1,0,0,1,0.0,-76.77999999999999,1
0,0,0,0,1,0,0,1,1,1,0.0,-75.17999999999999,1
0,0,0,0,0,0,0,0,1,1,0.0,-68.66,1
1,1,0,0,0,0,0,0,1,1,0.0,-65.85,1
1,0,0,1,0,1,1,0,1,1,0.0,-56.53999999999998,1
