0,1,2,3,chain_break_fraction,energy,num_occurrences
1,0,0,1,0.0,-120.51,598
0,1,1,0,0.0,-120.51,1214
0,1,1,1,0.0,-100.0,124
1,0,0,0,0.0,-100.0,60
0,0,0,1,0.0,-20.51,1
0,1,0,1,0.0,-20.51,2
1,1,1,0,0.0,-20.50999999999999,1
