0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,chain_break_fraction,energy,num_occurrences
0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0.0,-233.42000000000002,143
1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0.0,-233.42000000000002,485
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0.0,-225.07999999999998,136
1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0.0,-225.08000000000004,180
0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0.0,-218.85000000000002,34
1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0.0,-218.85000000000002,86
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0.0,-215.58,19
1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0.0,-215.58000000000004,101
1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0.0,-211.61,16
0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0.0,-211.61,48
1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0.0,-210.51000000000005,29
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0.0,-210.51,39
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,-209.74,57
0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.0,-209.74,32
0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0.0,-207.23999999999995,10
1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0.0,-207.24,23
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0.0,-203.27,22
0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0.0,-203.27000000000004,17
1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0.0,-201.40000000000003,27
0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0.0,-201.39999999999998,29
1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0.0,-201.01000000000005,19
0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0.0,-201.01,8
0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0.0,-199.75000000000003,9
1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0.0,-199.75,23
1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0.0,-198.52000000000004,12
0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0.0,-198.52000000000004,25
1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0.0,-197.04000000000008,1
0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0.0,-197.04000000000002,9
0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.0,-195.17000000000007,6
1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,-195.17000000000002,27
1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0.0,-193.77,2
0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0.0,-193.77000000000004,7
0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0.0,-192.67000000000002,3
1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0.0,-192.67000000000002,3
1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0.0,-191.90000000000003,15
0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0.0,-191.90000000000003,10
1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0.0,-191.41000000000003,8
0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0.0,-191.41,1
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,-190.18,15
0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0.0,-190.18000000000006,9
0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0.0,-189.77999999999997,4
1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0.0,-189.78000000000003,7
0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0.0,-188.70000000000005,2
1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0.0,-188.7,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,-187.93,5
1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.0,-187.93000000000006,7
0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0.0,-186.82999999999998,3
1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0.0,-186.83000000000004,5
1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0.0,-185.43,1
0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0.0,-185.43,2
0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0.0,-185.43,2
1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0.0,-185.43,2
1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0.0,-185.18,2
1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0.0,-183.95000000000005,2
0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0.0,-183.95000000000005,5
1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.0,-183.56,3
0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0.0,-183.56,5
1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0.0,-181.91000000000003,1
0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0.0,-181.91,1
1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0.0,-181.44000000000005,1
0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0.0,-181.44,4
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.0,-180.68,2
0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0.0,-180.68000000000006,5
0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0.0,-179.59000000000003,2
1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0.0,-179.58999999999997,4
