0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,chain_break_fraction,energy,num_occurrences
1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0.0,-167.97000000000003,1
0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0.0,-167.58999999999997,1
0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0.0,-167.34,3
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0.0,-166.11,2
0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0.0,-166.09999999999997,2
1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,-166.10000000000002,1
0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0.0,-164.85000000000002,1
1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0.0,-164.85000000000005,1
1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0.0,-164.59000000000003,1
0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0.0,-163.70000000000005,2
1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0.0,-163.70000000000005,1
0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0.0,-163.62000000000006,1
1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.0,-163.62,1
1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0.0,-163.51,1
1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0.0,-163.3700000000001,2
1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0.0,-163.31,1
0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0.0,-161.75,1
1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0.0,-161.75,2
1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0.0,-161.32000000000005,1
0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0.0,-161.32,2
0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0.0,-160.27,2
0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0.0,-160.24,1
0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0.0,-160.04000000000005,4
1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0.0,-160.04000000000002,2
0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0.0,-159.59000000000003,5
1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0.0,-159.59,2
1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0.0,-158.8700000000001,1
1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0,-158.23000000000002,1
0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0.0,-158.23000000000005,1
1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0.0,-157.35000000000005,1
0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0.0,-157.35000000000002,1
1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0.0,-156.07000000000002,1
0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0.0,-156.07000000000002,3
1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0.0,-155.52000000000004,1
0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0.0,-155.48000000000002,1
1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0.0,-154.39999999999998,1
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-154.26000000000002,1
0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0.0,-154.20000000000002,1
1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0.0,-151.76000000000005,1
0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0.0,-151.76000000000002,1
0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0.0,-151.53000000000003,1
1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,-151.53,1
0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0.0,-150.13000000000005,1
1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0.0,-150.13000000000002,1
0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0.0,-148.26000000000005,1
1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0.0,-148.26,1
0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0.0,-147.18,1
1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0.0,-145.78000000000003,1
0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0.0,-145.55,1
1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0.0,-145.53,1
1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0.0,-145.49,2
0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0.0,-145.47,3
1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0.0,-145.47000000000003,1
0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0.0,-145.02,1
1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0.0,-144.41000000000003,1
0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0.0,-144.41,1
0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0.0,-143.18,1
1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0.0,-143.18,1
1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0.0,-140.31000000000006,1
1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0.0,-139.63,1
1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0.0,-138.23000000000005,1
0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0.0,-137.64000000000004,1
1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,-135.91,1
1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0.0,-134.44,1
0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0.0,-134.23999999999998,1
0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0.0,-133.69,1
0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0.0,-132.42999999999998,1
1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0.0,-129.95000000000002,1
0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0.0,-127.65,1
0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0.0,-127.22,1
1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0.0,-125.37,1
1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0.0,-125.14000000000001,1
1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0.0,-124.69000000000004,1
1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0.0,-124.05000000000004,1
0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0.0,-123.32999999999997,1
1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0.0,-108.36000000000001,1
