0,1,2,3,4,5,6,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,1,0.0,-149.33,1083
1,1,1,1,1,1,0,0.0,-149.32999999999998,300
0,0,0,0,1,0,1,0.0,-141.86,343
1,1,1,1,0,1,0,0.0,-141.85999999999999,194
1,0,0,0,0,0,1,0.0,-100.00000000000003,6
0,1,1,1,1,1,0,0.0,-99.99999999999997,10
0,0,1,0,0,1,1,0.0,-96.47,23
1,1,0,1,1,0,0,0.0,-96.47,18
1,0,0,0,1,0,1,0.0,-92.53000000000003,3
0,1,1,1,0,1,0,0.0,-92.52999999999997,2
0,0,1,0,1,1,1,0.0,-89.0,9
1,1,0,1,0,0,0,0.0,-89.0,5
0,0,0,0,0,1,1,0.0,-49.33000000000001,1
1,0,0,0,0,0,0,0.0,-49.33,1
0,1,0,1,1,0,0,0.0,-47.139999999999986,1
1,0,1,0,0,1,0,0.0,3.5300000000000296,1
