0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,1,1,0,1,0.0,-175.20999999999998,209
1,0,1,0,1,0,0,1,0,0.0,-175.20999999999998,626
1,0,1,0,0,0,0,0,0,0.0,-168.69,201
0,1,0,1,1,1,1,1,1,0.0,-168.68999999999997,220
1,0,0,0,1,0,0,1,1,0.0,-164.45,306
0,1,1,1,0,1,1,0,0,0.0,-164.45,80
0,1,1,1,1,1,1,1,0,0.0,-157.92999999999998,66
1,0,0,0,0,0,0,0,1,0.0,-157.93,100
0,0,0,1,0,0,1,0,1,0.0,-148.27999999999997,30
1,1,1,0,1,1,0,1,0,0.0,-148.27999999999997,41
1,1,1,0,0,1,0,0,0,0.0,-141.76,18
0,0,0,1,1,0,1,1,1,0.0,-141.75999999999996,26
0,0,1,1,0,0,1,0,0,0.0,-137.51999999999998,15
1,1,0,0,1,1,0,1,1,0.0,-137.51999999999998,23
0,0,1,1,1,0,1,1,0,0.0,-130.99999999999997,7
1,1,0,0,0,1,0,0,1,0.0,-131.0,9
0,0,1,0,1,0,0,1,0,0.0,-117.28,1
1,1,0,1,0,1,1,0,1,0.0,-117.27999999999997,2
1,1,1,0,1,0,0,1,0,0.0,-114.47,2
1,1,0,1,1,1,1,1,1,0.0,-110.75999999999996,1
0,0,1,0,0,0,0,0,0,0.0,-110.76,1
1,0,0,0,0,0,1,0,1,0.0,-109.14,1
0,1,1,1,1,1,0,1,0,0.0,-109.14,1
1,1,1,0,0,0,0,0,0,0.0,-107.95,1
0,0,0,1,1,1,1,1,1,0.0,-107.94999999999996,2
0,0,0,0,1,0,0,1,1,0.0,-106.52,2
1,1,1,1,0,1,1,0,0,0.0,-106.52,1
1,1,0,0,0,0,0,0,1,0.0,-97.19,1
1,0,1,0,1,0,1,1,0,0.0,-91.86000000000001,1
0,1,1,0,1,1,0,1,0,0.0,-90.35000000000001,1
0,1,0,1,0,0,1,0,1,0.0,-87.53999999999999,1
0,0,1,1,1,0,0,1,0,0.0,-82.21,1
0,1,0,1,1,0,1,1,1,0.0,-81.01999999999998,1
0,1,0,1,0,1,1,0,0,0.0,-75.20999999999998,1
1,0,0,0,1,0,0,0,1,0.0,-57.93000000000001,1
