0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0.0,-209.74,477
1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0.0,-209.73999999999995,400
0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0.0,-195.16999999999996,231
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-195.17,225
0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0.0,-191.90000000000003,87
1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0.0,-191.89999999999995,58
1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0.0,-187.93,34
0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0.0,-187.93000000000004,48
0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0.0,-177.32999999999993,33
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,-177.32999999999998,29
0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0.0,-176.07,58
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,-176.07,32
0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0.0,-174.84,32
1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0.0,-174.83999999999997,10
1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0.0,-173.36000000000004,18
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-173.35999999999999,21
1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0.0,-170.09,7
0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0.0,-170.09000000000003,4
0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0.0,-166.10000000000002,5
1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0.0,-166.09999999999997,16
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0.0,-161.5,20
1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0.0,-161.49999999999994,11
0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0.0,-160.26999999999995,6
1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.0,-160.26999999999998,14
0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0.0,-158.23,6
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.0,-158.23,2
0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0.0,-157.00000000000003,3
1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0.0,-156.99999999999994,1
1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0.0,-155.52,5
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,-155.51999999999998,3
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.0,-155.48000000000005,3
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-155.48,3
0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0.0,-154.40000000000003,1
1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0.0,-154.26000000000008,7
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,-154.26,5
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0.0,-154.20000000000002,1
1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0.0,-154.19999999999996,2
1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0.0,-153.03,1
0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0.0,-153.03000000000003,3
0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0.0,-151.52999999999994,9
1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0.0,-151.53,1
0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0.0,-148.26000000000002,4
