0,1,2,3,4,5,6,7,8,9,10,11,12,chain_break_fraction,energy,num_occurrences
0,1,1,1,0,1,0,0,0,1,1,0,1,0.0,-176.07,447
1,0,0,0,1,0,1,1,1,0,0,1,0,0.0,-176.07,627
1,0,1,0,1,0,1,1,1,0,0,0,0,0.0,-161.5,205
0,1,0,1,0,1,0,0,0,1,1,1,1,0.0,-161.49999999999994,135
0,1,1,1,1,1,0,0,0,1,1,0,1,0.0,-158.22999999999996,57
1,0,0,0,0,0,1,1,1,0,0,1,0,0.0,-158.23000000000002,81
0,0,0,0,1,0,1,1,1,0,0,1,0,0.0,-154.26,69
1,1,1,1,0,1,0,0,0,1,1,0,1,0.0,-154.26000000000002,48
1,0,1,0,0,0,1,1,1,0,0,0,0,0.0,-143.66000000000003,33
0,1,0,1,1,1,0,0,0,1,1,1,1,0.0,-143.65999999999997,19
1,0,0,0,1,0,1,1,0,0,0,1,0,0.0,-141.17,26
0,1,1,1,0,1,0,0,1,1,1,0,1,0.0,-141.16999999999996,19
0,0,1,0,1,0,1,1,1,0,0,0,0,0.0,-139.69,28
1,1,0,1,0,1,0,0,0,1,1,1,1,0.0,-139.68999999999997,12
0,0,0,0,0,0,1,1,1,0,0,1,0,0.0,-136.42000000000002,12
1,1,1,1,1,1,0,0,0,1,1,0,1,0.0,-136.42000000000002,4
1,1,0,0,1,1,1,1,1,0,0,1,0,0.0,-132.43,22
0,0,1,1,0,0,0,0,0,1,1,0,1,0.0,-132.42999999999998,21
1,0,1,0,1,0,1,1,0,0,0,0,0,0.0,-126.6,8
0,1,0,1,0,1,0,0,1,1,1,1,1,0.0,-126.59999999999995,10
1,0,0,0,0,0,1,1,0,0,0,1,0,0.0,-123.33,4
0,0,1,0,0,0,1,1,1,0,0,0,0,0.0,-121.85,4
1,1,0,1,1,1,0,0,0,1,1,1,1,0.0,-121.84999999999997,2
1,0,0,0,1,0,1,1,1,0,0,0,0,0.0,-121.81,6
0,1,1,1,0,1,0,0,0,1,1,1,1,0.0,-121.80999999999995,4
1,0,0,0,0,0,1,0,1,0,0,1,0,0.0,-120.72999999999999,5
0,1,1,1,1,1,1,1,1,0,1,0,1,0.0,-120.52999999999997,13
1,0,0,0,0,0,0,0,0,1,0,1,0,0.0,-120.53,4
0,0,0,0,1,0,1,1,0,0,0,1,0,0.0,-119.36,4
1,1,1,1,0,1,0,0,1,1,1,0,1,0.0,-119.36000000000003,6
1,1,1,0,1,1,1,1,1,0,0,0,0,0.0,-117.86000000000001,10
0,0,0,1,0,0,0,0,0,1,1,1,1,0.0,-117.85999999999999,3
0,0,1,1,1,0,0,0,0,1,1,0,1,0.0,-114.58999999999997,1
1,1,0,0,0,1,1,1,1,0,0,1,0,0.0,-114.59,4
1,0,1,1,0,0,0,0,0,1,1,0,1,0.0,-110.61999999999998,1
0,1,0,0,1,1,1,1,1,0,0,1,0,0.0,-110.62,1
1,0,1,0,1,0,1,1,1,0,0,1,0,0.0,-107.23999999999998,2
0,0,1,1,0,1,0,0,0,1,1,0,1,0.0,-106.35,3
1,0,1,0,0,0,1,0,1,0,0,0,0,0.0,-106.16,1
0,1,0,1,1,1,0,1,0,1,1,1,1,0.0,-106.15999999999994,1
0,1,0,1,1,1,1,1,1,0,1,1,1,0.0,-105.95999999999995,6
1,0,1,0,0,0,0,0,0,1,0,0,0,0.0,-105.96000000000001,2
1,1,0,1,0,1,0,0,1,1,1,1,1,0.0,-104.78999999999998,1
0,1,1,1,0,1,0,1,0,1,1,0,1,0.0,-102.88999999999996,1
1,0,0,0,1,0,1,0,1,0,0,1,0,0.0,-102.88999999999999,1
0,1,1,1,0,1,1,1,1,0,1,0,1,0.0,-102.68999999999997,1
1,0,0,0,1,0,0,0,0,1,0,1,0,0.0,-102.69,2
0,1,0,1,0,1,0,0,0,1,0,1,1,0.0,-102.23999999999995,2
1,1,1,1,1,1,0,0,1,1,1,0,1,0.0,-101.52000000000004,1
1,1,1,0,0,1,1,1,1,0,0,0,0,0.0,-100.02000000000001,1
0,0,1,1,0,0,0,0,1,1,1,0,1,0.0,-97.52999999999999,2
0,1,1,0,1,1,1,1,1,0,0,0,0,0.0,-96.05000000000001,3
1,1,0,0,0,0,1,1,1,0,0,1,0,0.0,-88.50999999999999,1
0,0,1,1,1,1,0,0,0,1,1,0,1,0.0,-88.50999999999999,1
0,1,0,1,0,1,1,1,1,0,1,1,1,0.0,-88.11999999999995,1
1,0,1,0,1,0,0,0,0,1,0,0,0,0.0,-88.12,2
0,0,1,0,0,0,1,1,0,0,0,0,0,0.0,-86.94999999999999,1
0,1,1,1,0,1,0,0,1,1,1,1,1,0.0,-86.90999999999994,1
0,1,1,1,1,1,0,1,1,1,1,0,1,0.0,-85.82999999999996,1
0,1,0,0,1,0,1,1,1,0,0,1,0,0.0,-84.53999999999999,1
1,1,1,1,1,1,0,0,0,1,1,1,1,0.0,-82.16,1
1,1,0,0,0,1,1,1,0,0,0,1,0,0.0,-79.69000000000001,1
0,0,1,1,1,0,0,1,0,1,1,0,1,0.0,-77.08999999999997,1
1,0,1,0,0,0,0,0,1,1,0,0,0,0.0,-71.06,1
0,0,0,1,1,0,1,1,1,0,0,1,0,0.0,41.40000000000002,1
1,0,0,0,1,0,1,1,0,0,0,0,1,0.0,68.63,1
