0,1,2,3,4,5,6,7,8,9,10,11,chain_break_fraction,energy,num_occurrences
0,1,0,1,1,1,1,1,1,0,1,1,0.0,-176.06999999999994,430
1,0,1,0,0,0,0,0,0,1,0,0,0.0,-176.07,541
0,1,0,1,0,1,0,0,0,1,1,1,0.0,-161.49999999999997,166
1,0,1,0,1,0,1,1,1,0,0,0,0.0,-161.5,270
1,0,1,0,1,0,0,0,0,1,0,0,0.0,-158.23,106
0,1,0,1,0,1,1,1,1,0,1,1,0.0,-158.22999999999996,64
1,1,0,1,1,1,1,1,1,0,1,1,0.0,-154.26,50
0,0,1,0,0,0,0,0,0,1,0,0,0.0,-154.26,58
1,0,1,0,0,0,1,1,1,0,0,0,0.0,-143.66000000000003,35
0,1,0,1,1,1,0,0,0,1,1,1,0.0,-143.65999999999997,41
1,0,1,0,0,0,0,0,1,1,0,0,0.0,-141.17,17
0,1,0,1,1,1,1,1,0,0,1,1,0.0,-141.16999999999996,20
0,0,1,0,1,0,1,1,1,0,0,0,0.0,-139.69,23
1,1,0,1,0,1,0,0,0,1,1,1,0.0,-139.69000000000003,21
0,0,1,0,1,0,0,0,0,1,0,0,0.0,-136.42,9
1,1,0,1,0,1,1,1,1,0,1,1,0.0,-136.42000000000002,4
0,0,0,1,1,0,1,1,1,0,1,1,0.0,-132.43,19
1,1,1,0,0,1,0,0,0,1,0,0,0.0,-132.43,13
1,0,1,0,1,0,1,1,0,0,0,0,0.0,-126.6,11
0,1,0,1,0,1,0,0,1,1,1,1,0.0,-126.59999999999997,4
1,0,1,0,1,0,0,0,1,1,0,0,0.0,-123.32999999999998,2
0,1,0,1,0,1,1,1,0,0,1,1,0.0,-123.32999999999997,9
0,0,1,0,0,0,1,1,1,0,0,0,0.0,-121.85,3
1,1,0,1,1,1,0,0,0,1,1,1,0.0,-121.85000000000002,4
0,1,1,1,0,1,0,0,0,1,1,1,0.0,-121.80999999999996,8
1,0,0,0,1,0,1,1,1,0,0,0,0.0,-121.81,7
1,0,1,0,1,0,0,1,0,1,0,0,0.0,-120.72999999999999,7
0,1,0,1,0,1,1,0,1,0,1,1,0.0,-120.72999999999996,5
0,0,1,0,0,0,0,0,1,1,0,0,0.0,-119.35999999999999,2
1,1,0,1,1,1,1,1,0,0,1,1,0.0,-119.36000000000001,2
1,1,1,0,1,1,1,1,1,0,0,0,0.0,-117.86000000000001,6
0,0,0,1,0,0,0,0,0,1,1,1,0.0,-117.86000000000001,9
1,1,1,0,1,1,0,0,0,1,0,0,0.0,-114.59,2
0,0,0,1,0,0,1,1,1,0,1,1,0.0,-114.59,3
1,0,0,1,1,0,1,1,1,0,1,1,0.0,-110.62,1
0,1,0,1,1,1,0,0,1,1,1,1,0.0,-108.75999999999996,1
1,0,0,0,0,0,0,0,0,1,0,0,0.0,-107.24000000000001,1
0,1,1,1,1,1,1,1,1,0,1,1,0.0,-107.23999999999995,1
1,1,1,0,0,0,0,0,0,1,0,0,0.0,-106.35000000000001,2
1,0,1,0,0,0,1,0,1,0,0,0,0.0,-106.16,1
1,0,0,0,0,0,1,1,1,0,0,0,0.0,-103.97,1
0,1,1,1,1,1,0,0,0,1,1,1,0.0,-103.96999999999996,1
0,1,1,1,0,1,0,0,0,1,0,1,0.0,-102.23999999999997,1
1,0,0,0,1,0,1,1,1,0,1,0,0.0,-102.24000000000001,2
1,1,1,0,0,1,1,1,1,0,0,0,0.0,-100.02000000000001,1
0,0,0,1,1,0,0,0,0,1,1,1,0.0,-100.02000000000001,2
0,0,0,0,1,0,1,1,1,0,0,0,0.0,-100.0,2
1,1,1,1,0,1,0,0,0,1,1,1,0.0,-100.00000000000001,1
0,1,1,0,1,1,0,0,0,1,0,0,0.0,-92.78000000000002,1
0,0,0,1,0,1,0,0,0,1,1,1,0.0,-91.78000000000003,2
0,1,1,0,0,0,0,0,0,1,0,0,0.0,-84.54,1
1,0,0,0,0,0,1,1,1,0,1,0,0.0,-84.39999999999999,1
0,0,1,0,0,0,1,0,1,0,0,0,0.0,-84.35,1
1,1,1,0,1,1,1,1,0,0,0,0,0.0,-82.96000000000001,1
1,1,0,1,1,1,1,0,1,0,1,1,0.0,-81.08000000000001,1
1,0,1,0,1,0,1,1,1,1,0,0,0.0,-76.07,1
0,0,0,1,1,1,0,0,0,1,1,1,0.0,-73.94000000000003,1
1,1,0,0,0,1,1,1,1,0,0,0,0.0,-60.33000000000002,1
