0,1,2,3,4,5,6,7,8,9,10,chain_break_fraction,energy,num_occurrences
1,0,1,0,1,0,0,1,0,0,0,0.0,-175.20999999999998,543
0,1,0,1,0,1,1,0,1,1,1,0.0,-175.20999999999998,134
0,1,0,1,1,1,1,1,1,1,1,0.0,-168.69,99
1,0,1,0,0,0,0,0,0,0,0,0.0,-168.69,279
0,1,0,1,0,1,1,0,0,1,1,0.0,-164.45,34
1,0,1,0,1,0,0,1,1,0,0,0.0,-164.45,174
1,0,0,0,1,0,0,1,1,0,1,0.0,-159.62,127
0,1,1,1,0,1,1,0,0,1,0,0.0,-159.62,63
0,1,0,1,1,1,1,1,0,1,1,0.0,-157.93,24
1,0,1,0,0,0,0,0,1,0,0,0.0,-157.92999999999998,130
1,0,0,0,0,0,0,0,1,0,1,0.0,-153.1,58
0,1,1,1,1,1,1,1,0,1,0,0.0,-153.09999999999997,44
1,0,0,0,1,0,0,1,0,0,1,0.0,-148.86,23
0,1,1,1,0,1,1,0,1,1,0,0.0,-148.86,19
1,1,1,0,1,1,0,1,0,0,0,0.0,-148.27999999999997,38
0,0,0,1,0,0,1,0,1,1,1,0.0,-148.27999999999997,23
1,0,0,0,0,0,0,0,0,0,1,0.0,-142.34,21
0,1,1,1,1,1,1,1,1,1,0,0.0,-142.33999999999997,9
0,0,0,1,1,0,1,1,1,1,1,0.0,-141.75999999999996,15
1,1,1,0,0,1,0,0,0,0,0,0.0,-141.76,17
0,0,0,1,0,0,1,0,0,1,1,0.0,-137.51999999999998,5
1,1,1,0,1,1,0,1,1,0,0,0.0,-137.51999999999998,16
1,0,0,0,1,0,0,1,1,1,1,0.0,-133.11,7
0,1,1,1,0,1,1,0,0,0,0,0.0,-133.10999999999999,5
1,1,0,0,1,1,0,1,1,0,1,0.0,-132.69,11
0,0,1,1,0,0,1,0,0,1,0,0.0,-132.69,7
1,1,1,0,0,1,0,0,1,0,0,0.0,-130.99999999999997,4
0,0,0,1,1,0,1,1,0,1,1,0.0,-130.99999999999997,4
1,0,0,0,0,0,0,0,1,1,1,0.0,-126.59,4
0,1,1,1,1,1,1,1,0,0,0,0.0,-126.58999999999997,2
1,1,0,0,0,1,0,0,1,0,1,0.0,-126.16999999999999,3
0,0,1,1,1,0,1,1,0,1,0,0.0,-126.16999999999997,4
1,0,0,0,1,0,0,1,0,1,1,0.0,-122.35000000000002,5
0,1,1,1,0,1,1,0,1,0,0,0.0,-122.35,1
1,1,0,0,1,1,0,1,0,0,1,0.0,-121.92999999999999,4
0,0,1,1,0,0,1,0,1,1,0,0.0,-121.92999999999999,3
1,0,1,0,1,0,0,1,0,1,0,0.0,-117.51999999999998,1
0,0,1,0,1,0,0,1,0,0,0,0.0,-117.28,3
0,1,1,1,1,1,1,1,1,0,0,0.0,-115.82999999999998,1
1,1,0,0,0,1,0,0,0,0,1,0.0,-115.41,3
0,0,1,1,1,0,1,1,1,1,0,0.0,-115.40999999999998,2
1,1,1,0,1,0,0,1,0,0,0,0.0,-114.47,3
1,0,1,0,0,0,0,0,0,1,0,0.0,-111.0,2
0,1,0,1,1,1,1,1,1,0,1,0.0,-110.99999999999997,1
0,0,1,0,0,0,0,0,0,0,0,0.0,-110.76,1
0,1,1,1,1,1,0,1,0,0,0,0.0,-109.14,2
1,1,1,0,0,0,0,0,0,0,0,0.0,-107.95,2
1,0,1,0,1,0,0,1,1,1,0,0.0,-106.75999999999999,1
1,1,0,1,0,1,1,0,0,1,1,0.0,-106.51999999999998,1
1,1,0,0,1,1,0,1,1,1,1,0.0,-106.18,2
0,0,1,1,0,0,1,0,0,0,0,0.0,-106.17999999999998,1
1,1,1,1,0,1,1,0,0,1,0,0.0,-101.68999999999998,1
0,0,1,0,0,0,0,0,1,0,0,0.0,-100.00000000000001,5
0,0,1,1,0,1,1,0,0,1,0,0.0,-98.87999999999998,1
0,1,1,1,1,1,0,1,1,0,0,0.0,-98.38000000000001,1
1,0,1,0,0,0,1,0,0,1,0,0.0,-93.55,1
1,0,0,0,1,0,0,1,1,0,0,0.0,-75.21,1
1,0,0,0,1,1,0,1,1,0,1,0.0,-71.94999999999999,1
1,0,0,0,0,1,0,0,1,0,1,0.0,-65.42999999999999,1
1,1,0,0,1,1,0,1,1,0,0,0.0,-48.28,1
1,0,0,0,1,0,0,0,1,1,1,0.0,-26.589999999999996,1
0,1,1,0,0,1,1,0,0,1,0,0.0,-8.690000000000012,1
