0,1,2,3,4,chain_break_fraction,energy,num_occurrences
0,1,1,1,0,0.0,-147.65,716
1,0,0,0,1,0.0,-147.65,598
1,0,0,1,0,0.0,-136.62,268
0,1,1,0,1,0.0,-136.62,349
1,1,1,1,0,0.0,-100.0,21
0,0,0,0,1,0.0,-100.0,21
1,1,1,0,1,0.0,-88.97,14
0,0,0,1,0,0.0,-88.97,12
1,0,1,1,0,0.0,-47.64999999999999,1
