0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,1,0,1,0,1,1,1,0.0,-168.69,644
1,0,1,0,1,0,0,0,0.0,-168.69,715
1,0,0,0,1,0,0,0,0.0,-157.93,121
0,1,1,1,0,1,1,1,0.0,-157.93,243
1,1,0,0,1,1,1,1,0.0,-141.76,85
0,0,1,1,0,0,0,0,0.0,-141.76,106
1,1,1,0,1,1,1,1,0.0,-131.0,37
0,0,0,1,0,0,0,0,0.0,-131.0,16
1,1,0,1,0,1,1,1,0.0,-110.75999999999999,2
0,0,1,0,1,0,0,0,0.0,-110.76,5
1,1,1,0,1,0,0,0,0.0,-107.95,1
0,0,0,1,0,1,1,1,0.0,-107.94999999999999,9
0,0,0,1,0,0,1,1,0.0,-102.61999999999999,2
1,1,1,0,1,1,0,0,0.0,-102.62,1
1,1,1,1,0,1,1,1,0.0,-100.0,5
0,0,1,1,0,1,1,1,0.0,-97.19,2
1,1,0,0,1,0,0,0,0.0,-97.19,1
1,0,1,1,0,0,0,0,0.0,-83.83000000000001,1
1,0,0,0,1,1,1,1,0.0,-81.01999999999998,1
0,1,1,1,0,0,0,0,0.0,-81.02,1
0,1,1,1,0,1,0,0,0.0,-75.69,1
1,0,1,0,1,1,1,1,0.0,-70.25999999999999,1
