n,sparsity,mean,min,max,lower,upper
2,0.0,155224.36,150848.76,159599.96,149036.32713648028,161412.3928635197
2,0.5,173582.96000000002,167087.16,180078.76,164396.51154153686,182769.40845846318
2,1.0,146782.56,139885.16,153679.96,137028.1633748878,156536.9566251122
3,0.0,176424.76,165322.36,187527.16,160723.59534510894,192125.92465489107
3,0.5,159524.56,149249.16,169799.96,144992.9499611915,174056.1700388085
3,1.0,174182.96000000002,161287.16,187078.76,155945.54474234904,192420.375257651
4,0.0,184544.15999999997,184128.36,184959.96,183956.13000076523,185132.18999923472
4,0.5,200462.96000000002,175487.16,225438.76,165141.84490888205,235784.075091118
4,1.0,190846.36,189167.56,192525.16,188472.17827148805,193220.54172851192
5,0.0,173584.96000000002,173202.76,173967.16,173044.44757646104,174125.472423539
5,0.5,183864.76,176919.96,190809.56,174043.32965203133,193686.1903479687
5,1.0,179902.96000000002,171127.16,188678.76,167492.1046193262,192313.81538067386
6,0.0,204624.36,197408.76,211839.96,194419.96061934068,214828.7593806593
6,0.5,234439.36,231079.96,237798.76,229688.4509585638,239190.26904143617
6,1.0,195086.16,190765.16,199407.16,188975.34319698586,201196.97680301414
7,0.0,202025.36,195443.56,208607.16,192717.28917517274,211333.43082482723
7,0.5,206204.56,165009.16,247399.96,147945.4666126154,264463.6533873846
7,1.0,194182.96000000002,153407.16,234958.76,136517.27062338716,251848.64937661288
8,0.0,246604.56,230400.36,262808.76,223688.36059259388,269520.7594074061
8,0.5,220418.96,192598.36,248239.56,181074.69016664306,259763.22983335692
8,1.0,223022.56,183805.16,262239.96,167560.78103898937,278484.3389610106
9,0.0,222024.56,210847.16,233201.96,206217.329327931,237831.790672069
9,0.5,221228.36,181447.56,261009.16,164969.81311794836,277486.9068820516
9,1.0,194746.16,191125.16,198367.16,189625.29269064704,199867.02730935297
10,0.0,234321.15999999997,229761.96,238880.36,227873.47752642856,240768.8424735714
10,0.5,219679.16,216159.56,223198.76,214701.69394587164,224656.62605412837
10,1.0,232759.36,230999.96,234518.76,230271.19265836076,235247.52734163922
11,0.0,209347.76,207326.76,211368.76,206489.63439044397,212205.88560955605
11,0.5,201927.76,194488.76,209366.76,191407.42530950657,212448.09469049345
11,1.0,213982.56,200885.16,227079.96,195460.03928817462,232505.08071182537
12,0.0,208067.76,206488.36,209647.16,205834.15109958794,210301.36890041208
12,0.5,211107.96000000002,208089.16,214126.76,206838.73209790813,215377.18790209192
12,1.0,219039.16,164719.56,273358.76,142219.6449773184,295858.6750226816
13,0.0,281001.36,221840.36,340162.36,197335.07143644532,364667.6485635546
13,0.5,212942.76,207367.16,218518.36,205057.6708616326,220827.84913836743
13,1.0,221102.56,196325.16,245879.96,186062.02487965688,256143.09512034312
14,0.0,278821.36,223199.96,334442.76,200160.8217618211,357481.89823817887
14,0.5,234624.56,211289.16,257959.96,201623.32083659887,267625.7991634011
14,1.0,194522.96000000002,183127.16,205918.76,178406.86508590868,210639.05491409136
15,0.0,198467.96000000002,186808.76,210127.16,181979.36123357964,214956.5587664204
15,0.5,226122.96000000002,200687.16,251558.76,190151.30667019045,262094.6133298096
15,1.0,217182.56,190005.16,244359.96,178747.91232996146,255617.20767003854
16,0.0,277704.16000000003,183688.36,371719.96,144745.7405626436,410662.57943735644
16,0.5,193844.96,191559.56,196130.36,190612.91632455253,197077.00367544746
16,1.0,200242.96000000002,185007.16,215478.76,178696.285006396,221789.63499360404
17,0.0,226024.96,176762.36,275287.56,156357.12296223914,295692.79703776084
17,0.5,225844.76,217809.16,233880.36,214480.7054981948,237208.81450180523
17,1.0,225442.96000000002,213407.16,237478.76,208421.76840598992,242464.15159401012
18,0.0,226721.16,219519.56,233922.76,216536.5596092139,236905.7603907861
18,0.5,251539.76,218238.76,284840.76,204445.03415941357,298634.4858405865
18,1.0,206946.16,204285.16,209607.16,203182.9377105252,210709.3822894748
19,0.0,228864.15999999997,209488.36,248239.96,201462.64085817133,256265.67914182862
19,0.5,230364.16,211848.76,248879.56,204179.4302072372,256548.8897927628
19,1.0,191382.96,187605.56,195160.36,186040.90968949188,196725.0103105081
20,0.0,226824.76,221847.16,231802.36,219785.3705719317,233864.1494280683
20,0.5,245947.76,211768.76,280126.76,197611.35465165,294284.16534835
20,1.0,205026.16,182207.16,227845.16,172755.22072020834,237297.09927979167
21,0.0,204087.36,176767.96,231406.76,165451.89400410443,242722.82599589555
21,0.5,299019.95999999996,283640.36,314399.56,277269.9210961267,320769.9989038732
21,1.0,223702.76,211166.76,236238.76,205974.1787820909,241431.34121790912
22,0.0,253941.36,251321.56,256561.16,250236.40330929492,257646.31669070505
22,0.5,207488.56,189127.56,225849.56,181522.1847812676,233454.9352187324
22,1.0,289359.56,287919.16,290799.96,287322.52678475773,291396.59321524226
