n,sparsity,seed,solution_most,value_most,solution_lowest,value_lowest,annealer_tte
52,0.0,111,1110100111100010101010000100111001111011001100010011,-7765.62,0001011000011101010101111011000110000100110011101100,-7765.62,23.7335
52,0.5,111,0001110000111000110000000010010000011001000011101011,-5726.0,0001110000111000110000000010010000011001000011101011,-5726.0,9.7021
52,1.0,111,0001001100000111001101100100000100000001000110111000,-1423.42,1000100011100001110000001011011011010110110111100011,-1418.21,5.8635
53,0.0,111,11100011110101001111101000111010001011100010011011001,-8481.06,00011100001010110000010111000100100100011100101100100,-8434.7,15.4836
53,0.5,111,00101000100111100010110110111001011000101011111111010,-5162.14,01011101000101100000011111111010010000101010111001110,-4822.38,15.5978
53,1.0,111,00110100011000110000100000001111100100011000110001101,-1516.92,11001011100111001111011111110000011011100111001110010,-1516.92,5.6448
54,0.0,111,011110110000110010101101110000011011010110001100011000,-8995.45,011110110000110010101101110000011011010110001100011000,-8995.45,11.1027
54,0.5,111,000001010001011000000111010000100111111010011011010101,-5216.63,011110101110100011111000101011010000000111101100111000,-5000.36,11.0095
54,1.0,111,101110111001100001101111111111100011110000100111101101,-1516.92,010001000110011110010000000000011100001111011000010010,-1516.92,5.9696
55,0.0,111,1110010111111001100000010000110110000011010100111110000,-8969.87,0001101000001100011111101111001001111100101011000001111,-8868.58,24.3288
55,0.5,111,0001100111001011111001111000000111110000011100101100000,-5401.75,0010010010010000101101100011011100011110101101010011000,-4973.81,16.7482
55,1.0,111,0100010111101111000100000100000110000010110100100100110,-1516.92,1011101000010000111011111011111001111101001011011011001,-1516.92,5.4391
56,0.0,111,11001010111101000001001000010110000010111001000110100011,-9276.02,10001000010010011010001000010010001010011101000100111001,-8930.88,19.91
56,0.5,111,01010011101010111011000010011101011101101100100001111101,-5796.85,11010011101010111011100110011101001101101100100001101101,-5523.09,11.5798
56,1.0,111,01000001110111010100001111010000101101100011011111111110,-1522.97,10111110001000101011110000101111000110011100100000000001,-1514.57,5.7147
57,0.0,111,101000110100010110110100111001011000101101110000011101001,-10037.91,010101001011100001000010000111100111010010001111100010110,-10021.7,12.4086
57,0.5,111,110101010010001010001110101111101001110100001010001100011,-5730.02,110101010010001000101100101110101101010100001011001100001,-5698.29,12.0934
57,1.0,111,001100111101100101101111110001000011001000100001000110001,-1522.97,110011000010011010010000001110111100110111011110111001110,-1522.97,6.1204
58,0.0,111,1111010100001001001100100100101100010001000000010011011110,-10937.0,1010110101101001100100110101100000110101001000011100111010,-10576.1,60.178
58,0.5,111,0110100111101001011010000010100010000111111101010010111010,-5835.94,1001011000010110100101111101011101111000000010101101000101,-5835.94,42.9964
58,1.0,111,1100011111101110101101000100010101000011100100000010010000,-1522.97,0011100000010001010010111011101011101100011011111101101111,-1514.57,6.3727
59,0.0,111,11111110101000001101010010011010100110000010110100000110011,-10520.98,10110111000001000101111000010010100111000000000110010110011,-10299.31,61.9724
59,0.5,111,01111111110000001101110110010110010001000100100111011000011,-6220.7,01111111010000001101110110010110010001000100100111011001011,-6197.3,37.3081
59,1.0,111,10110100100010110001101101000010111010100000011101100000111,-1522.97,10110100100010110001101101000010111010100100011101100000111,-1518.4,6.2726
60,0.0,111,101010010110111111111001010110101111100010100001100001011010,-10724.54,100110011100110111110100100010101011111111110000110101111110,-10578.21,31.5722
60,0.5,111,001100101000010110100110011110100011111010100001101100001011,-6044.57,101111001110010110110100011100101011011010001000100010001010,-5681.36,35.3727
60,1.0,111,000010100001000011100110111110000001011101111111111111010101,-1522.97,111101011110111100011001000001111110100010000000000000101010,-1522.97,6.1359
61,0.0,111,1010010110001110110001011111100110010000011011000101101101001,-9953.34,1000001010001110111011010000011000001000111110100101000111111,-10283.17,33.6854
61,0.5,111,0111000110101110010000110010100010000100010111000101011110111,-5906.14,0011000010111111000000010010110010100110011111000101000110111,-5709.49,33.4472
61,1.0,111,1011100010101110100110000010001110001100110000000000000100010,-1522.97,0100011101011001111001111101110001010011001101111111111011101,-1518.4,6.5428
62,0.0,111,01111100101010010010001110110000111010011111011011101100010110,-11727.18,10000011010101101101110001001111000101100000100100010011101001,-11727.18,44.4734
62,0.5,111,11001101011111111001101000110100011000111001000000101001110110,-6737.74,00110010100000100110010111001011100111000110111111010110001001,-6698.59,45.8237
62,1.0,111,00001110010100010110011011100100011111010111111101111001111001,-1530.39,00101110000110111010010001100111010011110111011100001101111001,-1515.85,6.3728
63,0.0,111,100001111110110100100000010011110110001010011101000111111011011,-10960.18,100101111110110100100000010011110100001010011101000111110011011,-10875.1,44.7877
63,0.5,111,100010100010111010000011111001100101000011011110011011110101100,-6380.72,100110100101000011111001010110111100011010010110011110111100110,-6333.94,79.9352
63,1.0,111,001011101001101110101100011001110100111101110111001011011111001,-1530.39,110100010110010001010011100110001011000010001000110100100000110,-1530.39,6.3349
64,0.0,111,1010011001101000010101100011100111110010011100011000010110110110,-12158.6,0101100110010111101011011100011000001101100011100111101001001101,-12119.96,36.5923
64,0.5,111,1000011110110101101111111100011000011000110000001001001110100010,-7154.3,0111100101001010010000000011100111100111001110110110110010001100,-6689.35,48.5628
64,1.0,111,0101010011100001111101101101110000000111111100001010111101000011,-1530.39,1010101100011110000010100010001111111000000011110101000010111100,-1525.82,6.3269
65,0.0,111,01001001100110111100010000101111110111111000111000101001110001110,-12508.56,10110010010001000011101111011010001000000111000110010110000010001,-12134.83,48.1251
65,0.5,111,01011101010010100011000100100000110111110100001011000011011010001,-7963.03,10100010101101011100111011011111001000001011110100111100100101110,-7963.03,49.576
65,1.0,111,11001010100111010100110111101101010100100010000101000011100001011,-1530.39,11001010100111010100110111101101010110100010000101000011100001011,-1525.06,6.6301
66,0.0,111,010101010010000001110110011010111100110000000110110011000010000100,-11822.95,110001110101100110010110111001010110010000110001101101111110011010,-11529.51,116.0983
66,0.5,111,100110111111101011101101000101100101010101001011000101110110110010,-7429.18,100110111111101011101101000101100101010101001011000101110110110010,-7429.18,36.1402
66,1.0,111,001110111100001110111001000110110110011100110110101110110010101100,-1566.14,101001100010110001100000110001000011101110001110010111010110011110,-1548.6,6.4136
67,0.0,111,1110100111110100000100101110010011101010001011001001010110111111111,-12676.26,0101011000001011111011010001100100010101110100110010101001000000000,-12626.97,92.2942
67,0.5,111,0110101010101101010000101101010011000111111000001011111100111001111,-7742.14,0110101010101101010000101101010011000111111000001011111100111001111,-7742.14,58.6507
67,1.0,111,1110010010011000000101100110011011101011111010101000101011101111011,-1566.14,1110010010011000000101100110011011101011111010101000101011101111011,-1566.14,6.2955
