n,sparsity,mean,min,max,lower,upper
2,0.0,5.78912,5.418,6.4741,5.388351885000815,6.189888114999184
2,0.5,5.621875,5.0972,6.0965,5.202432017184298,6.041317982815702
2,1.0,5.3492,5.2021,5.5364,5.178480551781584,5.519919448218415
3,0.0,5.235425,5.0851,5.4194,5.079400357181417,5.391449642818584
3,0.5,5.47955,5.0377,6.3859,4.867013364360955,6.092086635639045
3,1.0,5.372566666666667,5.2888,5.449,5.292215292482193,5.452918040851141
4,0.0,5.158675000000001,4.8805,5.5114,4.896805371176802,5.420544628823199
4,0.5,5.50505,5.1858,6.2917,4.978937841488782,6.031162158511218
4,1.0,5.315666666666666,5.1166,5.4367,5.1419343917914055,5.489398941541927
5,0.0,5.255625,5.0173,5.5661,5.007616675206926,5.503633324793074
5,0.5,5.5260750000000005,4.9886,6.3169,4.95650139120713,6.095648608792871
5,1.0,5.2923,5.0303,5.5204,5.045497629671026,5.539102370328974
6,0.0,5.20965,4.8773,5.716,4.84061975282054,5.578680247179459
6,0.5,5.851475,5.1897,6.3737,5.255163043750029,6.447786956249971
6,1.0,5.2235000000000005,5.0712,5.3518,5.081668797509153,5.365331202490848
7,0.0,5.3139,5.0214,5.7562,4.971935489170781,5.655864510829219
7,0.5,5.4841,4.9735,6.1988,4.969902249453902,5.998297750546097
7,1.0,5.550833333333333,5.5121,5.6113,5.497782288731616,5.60388437793505
8,0.0,5.1526499999999995,4.9691,5.2908,5.018365463784296,5.286934536215703
8,0.5,5.448675,5.1431,6.1412,4.98044560910276,5.91690439089724
8,1.0,6.1250333333333336,5.2421,7.8073,4.667548138439975,7.582518528226692
9,0.0,5.2467500000000005,5.105,5.3144,5.150531308122244,5.342968691877757
9,0.5,5.5087,5.263,6.2139,5.038504615080072,5.9788953849199284
9,1.0,5.601299999999999,5.2656,5.8005,5.308889859956943,5.893710140043056
10,0.0,5.33315,4.9009,5.7508,4.982778154669928,5.6835218453300715
10,0.5,6.63855,5.1447,9.5793,4.614063038652345,8.663036961347656
10,1.0,5.2856,5.0812,5.4726,5.089320709192233,5.4818792908077665
11,0.0,5.216125,4.9273,5.527,4.940191271543329,5.492058728456671
11,0.5,5.6933,5.3909,5.9929,5.411361992629585,5.9752380073704146
11,1.0,5.286066666666667,5.0744,5.459,5.090862944024568,5.481270389308765
12,0.0,5.4373,5.2437,5.627,5.25667787141844,5.617922128581559
12,0.5,5.6739999999999995,5.4177,5.8372,5.492412206724497,5.855587793275502
12,1.0,5.195833333333334,5.0269,5.2883,5.049314210576838,5.34235245608983
13,0.0,5.325825,4.9174,5.8188,4.945352080464326,5.7062979195356744
13,0.5,6.4395500000000006,5.4049,8.2902,5.169592849804241,7.70950715019576
13,1.0,5.227433333333333,5.0258,5.3561,5.050606798748353,5.404259867918313
14,0.0,6.551575,5.0206,9.7535,4.377522171180056,8.725627828819944
14,0.5,5.6622,5.4355,5.9708,5.425894195303346,5.898505804696654
14,1.0,5.2299999999999995,5.0511,5.504,4.989038156547556,5.470961843452443
15,0.0,5.4344,5.3513,5.6205,5.309367337600663,5.559432662399337
15,0.5,5.8794249999999995,5.6231,6.0557,5.682801851566251,6.076048148433748
15,1.0,5.3553999999999995,5.1267,5.608,5.113861535154335,5.596938464845664
16,0.0,5.3546499999999995,5.0414,5.6953,5.066433177682726,5.642866822317273
16,0.5,5.891325,5.3989,6.5263,5.357240884433922,6.425409115566079
16,1.0,5.450233333333333,5.3179,5.5711,5.323244462429882,5.577222204236785
17,0.0,5.696725,5.2577,6.2366,5.252405089912684,6.141044910087316
17,0.5,5.82455,5.3302,6.2879,5.407515113369797,6.2415848866302035
17,1.0,5.3500000000000005,5.2516,5.5286,5.19506039886459,5.504939601135411
18,0.0,5.731625,5.424,6.1859,5.383736077353705,6.079513922646296
18,0.5,5.8822,5.4929,6.4035,5.4372226597529565,6.327177340247044
18,1.0,5.489999999999999,5.0714,5.9657,5.040123983746632,5.939876016253367
19,0.0,5.865225,5.7412,5.994,5.746680876709696,5.983769123290303
19,0.5,6.2029,5.5925,6.9365,5.641422467056784,6.764377532943215
