0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,1,1,1,1,0,1,0,0.0,-0.34092008027476534,11
0,1,1,1,0,1,1,0,0.0,-0.34092008027476534,20
0,1,1,1,0,0,1,0,0.0,-0.34092008027476534,12
1,1,0,0,1,0,1,0,0.0,-0.34092008027476534,21
0,1,1,1,1,1,1,0,0.0,-0.34092008027476534,18
1,1,1,0,1,0,1,0,0.0,-0.34092008027476534,9
1,1,0,0,0,0,1,0,0.0,-0.34092008027476534,16
0,1,0,1,0,1,1,0,0.0,-0.34092008027476534,17
1,1,1,0,0,0,1,0,0.0,-0.34092008027476534,20
1,1,0,0,0,1,1,0,0.0,-0.34092008027476534,26
0,1,0,1,0,0,1,0,0.0,-0.34092008027476534,24
1,1,0,0,1,1,1,0,0.0,-0.34092008027476534,12
0,1,0,1,1,0,1,0,0.0,-0.34092008027476534,16
1,1,1,0,0,1,1,0,0.0,-0.34092008027476534,26
1,1,1,0,1,1,1,0,0.0,-0.34092008027476534,29
0,1,0,1,1,1,1,0,0.0,-0.34092008027476534,19
0,0,1,1,1,0,0,1,0.0,-0.33999999999999997,19
0,0,1,1,1,1,0,1,0.0,-0.33999999999999997,39
0,0,0,1,1,1,0,1,0.0,-0.33999999999999997,38
0,0,0,1,1,0,0,1,0.0,-0.33999999999999997,34
1,0,0,0,1,1,0,1,0.0,-0.33999999999999997,38
0,0,0,1,0,0,0,1,0.0,-0.33999999999999997,25
0,0,1,1,0,1,0,1,0.0,-0.33999999999999997,48
0,0,0,1,0,1,0,1,0.0,-0.33999999999999997,39
1,0,1,0,0,0,0,1,0.0,-0.33999999999999997,32
1,0,1,0,1,1,0,1,0.0,-0.33999999999999997,38
1,0,1,0,0,1,0,1,0.0,-0.33999999999999997,43
0,0,1,1,0,0,0,1,0.0,-0.33999999999999997,39
1,0,0,0,0,1,0,1,0.0,-0.33999999999999997,55
1,0,0,0,1,0,0,1,0.0,-0.33999999999999997,32
1,0,1,0,1,0,0,1,0.0,-0.33999999999999997,25
1,0,0,0,0,0,0,1,0.0,-0.33999999999999997,42
1,0,0,0,1,0,1,1,0.0,-0.3174785186008925,2
0,0,1,1,0,1,1,1,0.0,-0.3174785186008925,5
1,0,0,0,1,1,1,1,0.0,-0.3174785186008925,2
1,0,1,0,0,1,1,1,0.0,-0.3174785186008925,1
0,0,0,1,0,1,1,1,0.0,-0.3174785186008925,7
1,0,0,0,0,1,1,1,0.0,-0.3174785186008925,6
1,0,0,0,0,0,1,1,0.0,-0.3174785186008925,9
0,0,1,1,1,1,1,1,0.0,-0.3174785186008925,4
0,0,0,1,1,0,1,1,0.0,-0.3174785186008925,8
1,0,1,0,1,0,1,1,0.0,-0.3174785186008925,3
0,0,1,1,0,0,1,1,0.0,-0.3174785186008925,3
0,0,0,1,0,0,1,1,0.0,-0.3174785186008925,5
0,0,1,1,1,0,1,1,0.0,-0.3174785186008925,9
0,0,0,1,1,1,1,1,0.0,-0.3174785186008925,6
1,0,1,0,1,1,1,1,0.0,-0.3174785186008925,6
1,0,1,0,0,0,1,1,0.0,-0.3174785186008925,5
0,1,1,1,1,0,0,0,0.0,-0.31,1
1,1,0,0,1,0,0,0,0.0,-0.31,1
0,1,0,1,0,0,0,0,0.0,-0.31,1
0,1,0,1,0,1,0,0,0.0,-0.31,1
1,1,1,0,0,1,0,0,0.0,-0.31,2
1,1,0,0,0,1,0,0,0.0,-0.31,5
1,1,1,0,0,0,0,0,0.0,-0.31,2
0,1,1,1,0,1,0,0,0.0,-0.31,2
1,1,0,0,1,1,0,0,0.0,-0.31,2
0,1,1,1,1,1,0,0,0.0,-0.31,3
1,1,0,0,0,0,0,0,0.0,-0.31,2
1,1,1,0,1,1,0,0,0.0,-0.31,3
0,1,1,1,0,0,0,0,0.0,-0.31,2
1,0,1,0,0,1,1,0,0.0,-0.28,1
1,0,0,0,1,0,1,0,0.0,-0.28,1
1,0,1,0,1,1,1,0,0.0,-0.28,2
1,0,0,0,0,0,1,0,0.0,-0.28,2
0,1,0,1,0,0,0,1,0.0,-0.26929222823955373,1
0,1,0,1,0,1,0,1,0.0,-0.26929222823955373,1
0,1,1,1,1,0,0,1,0.0,-0.26929222823955373,1
1,0,0,1,0,1,0,1,0.0,-0.19675443340337967,1
